K=1	402	0.5758	0.6630	0.4066	0.5008	4	0.279	0.3186	2492	0.5817	108949
K=1	404	0.5070	0.6290	0.4724	0.5089	4	0.266	0.2700	2374	0.5125	103950
K=1	403	0.6716	0.7670	0.3143	0.5187	4	0.376	0.3533	2542	0.6771	147651
K=1	401	0.6042	0.6812	0.3779	0.4975	5	0.294	0.3153	2509	0.6105	114927
K=1	405	0.5569	0.6516	0.4252	0.5350	6	0.302	0.3020	2447	0.5622	118297
K=1	406	0.6066	0.7160	0.3759	0.4689	4	0.293	0.3094	2492	0.6131	114601
K=1	407	0.5623	0.5846	0.4180	0.5257	5	0.295	0.2730	2454	0.5684	115547
K=1	408	0.5758	0.4099	0.4080	0.5006	4	0.351	0.2925	2663	0.5813	137672
K=1	409	0.6535	0.8401	0.3312	0.5108	5	0.327	0.3469	2586	0.6597	128047
K=1	411	0.6848	0.6932	0.3030	0.5119	7	0.409	0.3041	2243	0.6901	161332
K=1	410	0.6424	0.8329	0.3419	0.5117	6	0.327	0.3166	2489	0.6487	128299
K=1	412	0.5048	0.5143	0.4726	0.4937	4	0.213	0.2719	2225	0.5110	82938
K=2	401	0.4655	0.5386	0.1963	0.5178	5	0.298	0.2875	5086	0.4735	113996
K=2	403	0.5856	0.7233	0.1371	0.4874	4	0.317	0.3632	6219	0.5971	120500
K=2	404	0.5967	0.8396	0.1302	0.5128	6	0.360	0.3714	6521	0.6074	137270
K=2	402	0.6218	0.8288	0.1185	0.5260	5	0.326	0.3319	5858	0.6354	124373
K=2	405	0.6067	0.7475	0.1280	0.5196	4	0.385	0.3772	6365	0.6166	147456
K=2	407	0.5605	0.6175	0.1483	0.5106	4	0.419	0.3444	6737	0.5696	160711
K=2	406	0.6123	0.7624	0.1252	0.4982	5	0.398	0.3335	5263	0.6219	153878
K=2	408	0.5609	0.7493	0.1492	0.5124	4	0.338	0.3561	6161	0.5707	128823
K=2	409	0.6529	0.8651	0.1062	0.5116	5	0.393	0.3976	6609	0.6641	150454
K=2	410	0.6190	0.8343	0.1193	0.4794	5	0.391	0.3944	6402	0.6285	150057
K=2	411	0.6285	0.7702	0.1148	0.5063	8	0.387	0.3874	6889	0.6397	148060
K=2	412	0.5983	0.6677	0.1304	0.5046	6	0.323	0.3788	7107	0.6111	122229
K=3	401	0.5920	0.5702	0.0662	0.4919	7	0.460	0.4419	20112	0.6104	163882
K=3	402	0.6059	0.6210	0.0599	0.4905	5	0.472	0.4082	11046	0.6182	177599
K=3	403	0.6271	0.8431	0.0559	0.5214	6	0.332	0.4058	12573	0.6503	120084
K=3	404	0.5737	0.8040	0.0690	0.5191	5	0.345	0.3648	10854	0.5915	127175
K=3	405	0.5381	0.7586	0.0798	0.4937	5	0.281	0.3630	10794	0.5568	101681
K=3	407	0.5976	0.8667	0.0654	0.4877	6	0.329	0.4155	13111	0.6177	118582
K=3	406	0.3702	0.4989	0.1279	0.4607	5	0.231	0.2632	8789	0.3815	83633
K=3	408	0.6461	0.7701	0.0523	0.4892	6	0.402	0.4566	15838	0.6668	144939
K=3	409	0.6686	0.6231	0.0467	0.5046	6	0.383	0.4581	12453	0.6872	140558
K=3	411	0.5780	0.3424	0.0633	0.5069	8	0.593	0.4039	19840	0.5938	217459
K=3	410	0.6214	0.8888	0.0571	0.4957	4	0.345	0.4167	12962	0.6427	125078
K=3	412	0.5508	0.6286	0.0749	0.4906	5	0.405	0.3418	9710	0.5642	152232
K=5	401	0.5440	0.7717	0.0310	0.5081	5	0.386	0.3964	27031	0.5754	127324
K=5	403	0.3813	0.2392	0.0493	0.5180	5	0.469	0.2787	28064	0.3993	159413
K=5	402	0.5291	0.7335	0.0351	0.5259	5	0.358	0.3868	24933	0.5591	118238
K=5	404	0.4564	0.6753	0.0397	0.5104	4	0.343	0.3454	22731	0.4784	114487
K=5	405	0.5147	0.7592	0.0332	0.4975	6	0.317	0.3901	27622	0.5493	99182
K=5	406	0.5028	0.7133	0.0349	0.5122	5	0.373	0.3740	25271	0.5292	123705
K=5	407	0.5984	0.8461	0.0275	0.5057	4	0.373	0.4424	30844	0.6390	118490
K=5	408	0.4901	0.7244	0.0369	0.4972	4	0.312	0.3892	26781	0.5177	97805
K=5	409	0.4892	0.7096	0.0386	0.5100	5	0.279	0.3888	24762	0.5178	86929
K=5	410	0.5790	0.8354	0.0299	0.5144	7	0.367	0.4319	29238	0.6156	117364
K=5	411	0.5623	0.7296	0.0296	0.4977	5	0.370	0.4039	26999	0.5976	120933
K=5	412	0.5402	0.7344	0.0306	0.5104	5	0.279	0.3781	24254	0.5852	87486
