нульА	11	0.2001	0.2394	1.2030	0.6438	0.8850	0.6121	0.1914	0.2015	12857	82855	95740	5	0.8056	0.863	3.185	83	2.89	2.55	0.988	0.388	1:15% 2:20% 3:21% 4:22% 5:22% 6:22% 7:18%
нульА	12	0.1965	0.2098	1.1734	0.6725	0.8821	0.6095	0.1952	0.1967	11661	72241	83939	5	0.3195	0.874	2.811	85	2.94	2.07	0.995	0.394	1:15% 2:19% 3:21% 4:22% 5:23% 6:23% 7:21%
нульБ	1	0.2318	0.1795	1.3086	0.6727	0.8074	0.6036	0.2382	0.2318	445	71307	71781	4	0.9105	0.971	2.543	74	2.90	0.06	0.999	0.366	1:22% 2:23% 3:24% 4:24% 5:24% 6:19%
нульБ	2	0.2365	0.5102	1.6192	0.3916	0.7924	0.6064	0.2352	0.2402	148848	55210	204070	8	0.9369	0.661	5.962	88	2.96	1.59	0.996	0.394	1:20% 2:22% 3:23% 4:23% 5:24% 6:25% 7:24% 8:27%
нульБ	4	0.2378	0.2716	1.4560	0.6270	0.7930	0.6045	0.2294	0.2392	15340	93283	108657	5	0.7713	0.833	3.549	81	2.92	2.55	0.987	0.461	1:21% 2:24% 3:24% 4:25% 5:24% 6:29%
нульБ	3	0.2314	0.1911	1.2972	0.6738	0.8110	0.6095	0.2178	0.2399	29526	46898	76435	4	0.3772	0.984	2.727	84	2.80	2.94	0.993	0.364	1:21% 2:23% 3:24% 4:24% 5:20% 6:17%
нульБ	5	0.2360	0.2379	1.4166	0.6504	0.8009	0.6027	0.2254	0.2370	7652	87468	95158	7	1.0000	0.866	3.171	83	2.87	2.73	0.997	0.394	1:22% 2:24% 3:24% 4:24% 5:26% 6:22%
нульБ	6	0.2200	0.1719	1.2374	0.6458	0.8197	0.6027	0.2178	0.2311	57430	11339	68780	5	0.7801	0.978	2.446	77	2.89	0.09	0.998	0.395	1:19% 2:21% 3:23% 4:24% 5:25% 6:27% 7:12%
нульБ	8	0.2357	0.2554	1.4145	0.6227	0.8049	0.6081	0.2250	0.2379	17450	84664	102148	5	0.5837	0.866	3.404	81	2.89	2.09	0.887	0.353	1:21% 2:23% 3:24% 4:24% 5:24% 6:26% 7:22%
нульБ	7	0.2359	0.4970	1.5512	0.3867	0.8041	0.6059	0.2360	0.2264	196286	2465	198783	8	1.0000	0.721	6.045	88	2.76	2.68	0.978	0.387	1:18% 2:21% 3:23% 4:23% 5:24% 6:25% 7:26% 8:26%
