602	сеть	0.8626	1.0168	1:7.75e-1:8.29e-1:0.892	2:1.84e-1:5.07e-1:0.824	3:3.29e-2:1.55e-1:-0.181	5:5.73e-4:1.50e-2:0.204	10:8.26e-8:2.06e-6:-0.108	20:3.15e-17:7.82e-16:-0.108	50:1.73e-45:4.31e-44:-0.108	100:1.38e-92:3.44e-91:-0.108	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
604	сеть	0.3830	0.8036	1:5.46e-1:3.40e-1:0.164	2:1.67e-2:2.30e-1:-0.395	3:2.60e-3:4.05e-2:-0.536	5:2.59e-7:1.03e-6:-0.144	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
603	сеть	0.6415	0.9377	1:2.32e-1:4.11e-1:0.495	2:6.34e-1:3.28e-1:0.525	3:2.70e-2:1.54e-1:-0.233	5:9.71e-4:1.74e-2:-0.042	10:9.39e-10:2.64e-8:-0.213	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
601	сеть	1.0185	1.1111	1:3.22e-1:5.41e-1:0.359	2:2.13e-1:2.14e-1:0.096	3:5.81e-2:1.52e-1:-0.080	5:6.75e-3:2.94e-3:0.114	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
606	сеть	0.7352	0.8677	1:2.69e-1:3.66e-1:0.399	2:3.21e-1:1.88e-1:-0.065	3:3.86e-2:5.49e-2:0.060	5:9.74e-3:6.83e-3:0.094	10:4.25e-5:3.24e-5:-0.077	20:1.22e-9:9.34e-10:-0.083	50:2.36e-23:1.81e-23:-0.083	100:3.29e-46:2.53e-46:-0.083	200:6.43e-92:4.94e-92:-0.083	500:0.00e+0:0.00e+0:0.000
605	сеть	0.7390	0.8413	1:4.02e-1:7.14e-1:0.122	2:4.18e-1:3.19e-1:-0.497	3:1.59e-1:1.67e-1:0.501	5:3.23e-2:2.35e-2:0.399	10:3.43e-5:3.63e-5:-0.162	20:3.36e-11:3.54e-11:-0.160	50:3.42e-29:3.60e-29:-0.160	100:3.52e-59:3.71e-59:-0.160	200:3.74e-119:3.94e-119:-0.160	500:0.00e+0:0.00e+0:0.000
607	сеть	1.0270	0.9240	1:3.84e-1:5.62e-1:0.788	2:1.85e-1:2.32e-1:0.788	3:1.54e-2:6.22e-2:0.650	5:8.26e-5:3.35e-4:0.677	10:1.30e-10:5.93e-10:0.637	20:3.30e-22:1.51e-21:0.637	50:5.43e-57:2.48e-56:0.637	100:5.78e-115:2.64e-114:0.637	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
608	сеть	0.6835	0.7574	1:5.79e-1:7.49e-1:0.236	2:4.14e-1:1.66e-1:-0.165	3:3.18e-2:1.94e-2:-0.118	5:2.56e-4:2.85e-4:-0.136	10:5.02e-9:9.91e-9:-0.776	20:2.17e-17:4.69e-17:0.613	50:3.85e-42:8.05e-42:-0.711	100:2.16e-83:4.55e-83:0.663	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
609	сеть	0.6302	0.7810	1:5.40e-1:1.25e+0:0.060	2:1.11e+0:4.99e-1:-0.057	3:7.61e-2:2.08e-2:0.003	5:5.01e-5:6.05e-5:-0.004	10:6.27e-10:1.29e-9:-0.054	20:6.57e-21:1.03e-20:-0.053	50:7.37e-54:1.27e-53:-0.053	100:9.29e-109:1.60e-108:-0.053	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
612	сеть	0.6357	1.0683	1:8.59e-1:4.25e-1:-0.118	2:2.08e-1:3.35e-1:0.159	3:4.45e-2:7.23e-2:-0.031	5:2.50e-4:1.28e-2:-0.278	10:4.43e-10:3.59e-9:-0.006	20:7.96e-21:6.46e-20:-0.006	50:4.64e-53:3.76e-52:-0.006	100:8.74e-107:7.09e-106:-0.006	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
611	сеть	0.6367	0.5074	1:5.11e-1:6.96e-1:-0.318	2:7.18e-2:2.60e-1:-0.683	3:1.18e-2:1.63e-1:-0.185	5:1.25e-2:1.53e-2:0.810	10:3.02e-5:2.14e-4:-0.355	20:5.96e-9:2.16e-8:-0.747	50:1.11e-20:3.55e-20:0.759	100:2.48e-40:5.96e-40:0.787	200:9.74e-80:1.65e-79:0.808	500:0.00e+0:0.00e+0:0.000
610	сеть	0.7957	1.0134	1:6.23e-1:5.64e-1:0.346	2:1.92e-1:1.90e-1:-0.376	3:1.89e-2:1.11e-1:0.132	5:8.00e-3:8.67e-3:0.010	10:2.59e-9:3.00e-8:-0.149	20:2.29e-20:8.08e-20:-0.122	50:1.75e-52:6.17e-52:-0.122	100:5.19e-106:1.83e-105:-0.122	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
602	отрезано	0.8626	1.0168	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
601	отрезано	1.0185	1.1111	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
603	отрезано	0.6415	0.9377	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
604	отрезано	0.3830	0.8036	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
606	отрезано	0.7352	0.8677	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
605	отрезано	0.7390	0.8413	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
607	отрезано	1.0270	0.9240	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
608	отрезано	0.6835	0.7574	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
609	отрезано	0.6302	0.7810	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
612	отрезано	0.6357	1.0683	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
610	отрезано	0.7957	1.0134	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
611	отрезано	0.6367	0.5074	1:0.00e+0:0.00e+0:0.000	2:0.00e+0:0.00e+0:0.000	3:0.00e+0:0.00e+0:0.000	5:0.00e+0:0.00e+0:0.000	10:0.00e+0:0.00e+0:0.000	20:0.00e+0:0.00e+0:0.000	50:0.00e+0:0.00e+0:0.000	100:0.00e+0:0.00e+0:0.000	200:0.00e+0:0.00e+0:0.000	500:0.00e+0:0.00e+0:0.000
