Г0	901	4	0.431	0.485	0.783	0.777	128	0.129	0.347	0.328	2.866	0.808	1.194	0.341	0.04	6.49	76
Г0	903	4	0.288	0.448	0.785	1.028	65.5	0.117	0.246	0.234	2.751	0.690	1.110	0.333	0.13	3.94	77
Г0	904	4	0.402	0.439	0.781	0.130	125	0.141	0.147	0.226	2.874	0.545	1.118	0.372	0.26	1.85	84
Г0	902	5	0.368	0.415	0.736	0.237	97	0.223	0.535	0.407	2.924	0.705	1.182	0.380	0.22	9.28	81
Г0	905	4	0.408	0.444	0.807	0.151	164.5	0.177	0.509	0.394	2.769	0.768	1.068	0.362	0.07	9.13	77
Г0	907	8	0.453	0.446	0.789	0.407	88.5	0.186	0.677	0.333	2.856	0.461	1.154	0.336	0.00	18.53	84
Г0	906	4	0.390	0.439	0.767	0.293	121.5	0.158	0.219	0.204	2.853	0.614	1.103	0.358	0.09	3.63	80
Г0	908	4	0.524	0.460	0.779	0.273	48.5	0.256	0.567	0.520	2.887	0.481	1.165	0.361	0.16	8.97	82
Г0	909	4	0.428	0.495	0.820	0.162	55.5	0.125	0.036	0.184	2.940	0.426	1.122	0.357	0.04	0.59	80
Г0	910	4	0.293	0.468	0.787	0.050	118	0.118	0.018	0.131	2.796	0.628	1.207	0.340	0.13	0.19	80
Г0	911	4	0.253	0.391	0.727	0.237	84.5	0.145	0.154	0.177	2.821	0.655	1.157	0.345	0.12	2.10	80
Г0	912	4	0.391	0.457	0.798	-0.044	43.5	0.133	0.082	0.164	2.857	0.789	1.227	0.364	0.07	1.31	76
Г1	901	4	0.484	0.454	0.785	0.157	140	0.181	0.192	0.233	2.811	0.509	0.991	0.372	0.13	2.92	73
Г1	903	4	0.037	0.414	0.763	0.448	58	0.144	0.021	0.180	2.813	0.259	0.880	0.361	0.08	0.33	76
Г1	902	4	0.102	0.435	0.775	0.169	32.5	0.150	0.370	0.433	2.825	0.445	1.016	0.359	0.11	5.46	76
Г1	904	8	0.700	0.452	0.800	0.131	700	0.331	0.205	0.126	2.896	0.726	1.067	0.388	0.13	4.93	83
Г1	905	4	0.284	0.469	0.802	0.193	70.5	0.195	0.291	0.365	2.764	0.514	1.061	0.356	0.03	4.05	82
Г1	906	4	0.433	0.423	0.766	0.152	80	0.203	0.319	0.377	2.908	0.286	1.036	0.371	0.03	4.96	85
Г1	907	4	0.534	0.522	0.825	-0.032	144	0.159	0.190	0.266	2.852	0.551	1.149	0.364	0.05	3.46	84
Г1	908	4	0.273	0.467	0.807	0.209	49.5	0.176	0.021	0.142	2.895	0.346	1.113	0.353	0.08	0.33	78
Г1	909	8	0.792	0.505	0.809	0.134	93.5	0.355	0.803	0.434	2.866	0.792	1.063	0.351	0.00	24.47	80
Г1	910	4	0.298	0.443	0.796	0.209	75.5	0.144	0.203	0.280	2.777	0.639	1.039	0.332	0.20	3.05	74
Г1	911	4	0.129	0.457	0.785	0.030	26	0.130	0.172	0.251	2.823	0.449	0.894	0.392	0.15	3.01	76
Г1	912	8	0.566	0.465	0.794	0.192	1299	0.357	0.159	0.055	2.832	0.415	1.027	0.388	0.05	4.34	84
Г3	901	8	0.620	0.552	0.846	0.170	65000	0.276	0.745	0.672	2.925	0.821	1.201	0.373	3.93	17.74	84
Г3	902	8	0.473	0.469	0.788	0.183	65000	0.198	0.758	0.614	2.885	0.637	1.110	0.347	1.82	21.92	85
Г3	903	8	0.666	0.508	0.812	0.184	65000	0.254	0.306	0.450	2.682	0.530	1.074	0.362	1.70	9.08	81
Г3	904	8	0.745	0.519	0.829	0.190	65000	0.295	0.250	0.542	2.952	0.609	1.190	0.371	2.70	5.43	78
Г3	905	8	0.676	0.482	0.811	0.185	65000	0.249	0.250	0.496	2.829	0.536	1.094	0.327	2.41	6.64	84
Г3	906	8	0.301	0.395	0.739	0.135	65000	0.259	0.349	0.588	2.868	0.705	1.188	0.361	3.07	8.17	86
Г3	907	8	0.574	0.487	0.804	0.164	65000	0.177	0.759	0.578	2.906	0.759	1.132	0.328	1.14	21.67	84
Г3	908	8	0.643	0.469	0.803	0.171	65000	0.301	0.329	0.526	2.820	0.553	1.160	0.366	0.99	9.87	83
Г3	911	8	0.278	0.458	0.781	0.213	65000	0.230	0.554	0.542	2.821	0.675	1.044	0.340	5.19	13.27	88
Г3	909	8	0.701	0.471	0.789	0.063	65000	0.311	0.198	0.505	2.899	0.724	1.175	0.371	0.91	4.99	88
Г3	910	8	0.623	0.414	0.773	-0.007	65000	0.256	0.387	0.585	2.827	0.444	1.130	0.351	6.38	7.51	80
Г3	912	8	0.591	0.407	0.753	0.004	65000	0.245	0.299	0.504	2.919	0.584	1.121	0.336	3.15	7.11	83
Г0з	901	8	0.545	0.480	0.801	0.401	65000	0.213	0.387	0.463	2.885	0.597	0.860	0.356	7.30	5.44	85
Г0з	903	8	0.532	0.406	0.759	0.339	65000	0.274	0.405	0.582	2.895	0.664	1.189	0.366	5.53	6.30	84
Г0з	902	8	0.469	0.461	0.786	0.591	65000	0.207	0.476	0.585	2.865	0.766	1.114	0.353	5.32	10.13	84
Г0з	904	8	0.621	0.522	0.832	0.374	65000	0.216	0.706	0.566	2.914	0.544	1.197	0.346	3.51	16.83	80
Г0з	905	8	0.653	0.507	0.798	0.241	65000	0.267	0.450	0.543	2.865	0.613	1.139	0.358	7.15	5.82	84
Г0з	906	8	0.591	0.470	0.800	0.515	65000	0.258	0.572	0.655	2.921	0.652	1.177	0.360	10.34	7.32	85
Г0з	907	8	0.512	0.464	0.805	0.483	65000	0.220	1.131	0.594	2.924	0.484	1.198	0.366	6.95	26.80	84
Г0з	908	8	0.554	0.392	0.733	0.307	65000	0.298	0.681	0.643	2.882	0.705	1.176	0.369	8.57	11.49	80
Г0з	909	8	0.546	0.450	0.777	0.179	65000	0.262	0.919	0.544	2.908	0.656	1.121	0.360	2.87	28.07	88
Г0з	910	8	0.578	0.429	0.777	0.209	65000	0.289	0.536	0.635	2.820	0.617	1.152	0.384	7.88	7.54	85
