Б	5	0.4946	0.3784	2.3388	0.3547	0.3120	0.5273	0.5377	0.2486	128757	22546	151354	6	0.8365	1.315	6.402	86	2.91	2.72	0.999	0.367	1:43% 2:48% 3:49% 4:50% 5:51% 6:54% 7:53% 8:54%	0:95% 1:1% 2:1% 3:3%	0:52% 1:6% 2:4% 3:18%	0:6 1:0 2:0 3:0
Б	6	0.4844	0.3946	2.4933	0.3800	0.4161	0.5750	0.5691	0.2666	113615	44181	157833	4	0.8596	1.143	6.133	76	2.92	0.18	0.989	0.388	1:33% 2:43% 3:49% 4:52% 5:50% 6:38% 7:27% 8:21%	0:90% 1:4% 2:2% 3:4%	0:52% 1:19% 2:6% 3:20%	0:3 1:0 2:0 3:1
Б	8	0.3490	0.2546	1.8148	0.5714	0.5467	0.5327	0.4654	0.2068	56020	45783	101832	4	0.7009	1.123	3.917	76	2.88	2.17	0.989	0.392	1:24% 2:30% 3:37% 4:44% 5:53% 6:57%	0:92% 1:2% 2:2% 3:3%	0:37% 1:16% 2:11% 3:17%	0:4 1:0 2:0 3:0
Б	7	0.3288	0.2824	2.2608	0.5967	0.6000	0.5307	0.4082	0.1944	71044	41891	112949	4	0.5060	0.655	3.286	76	2.82	0.00	0.996	0.379	1:18% 2:22% 3:32% 4:37% 5:39% 6:41% 7:40% 8:55%	0:86% 1:5% 2:2% 3:7%	0:36% 1:18% 2:10% 3:18%	0:4 1:0 2:0 3:0
Б	9	0.4914	0.3468	2.2435	0.3764	0.3415	0.5259	0.5473	0.2476	112802	25877	138716	5	0.8803	1.390	6.076	85	2.83	2.59	0.993	0.396	1:36% 2:46% 3:50% 4:51% 5:53% 6:49% 7:53%	0:95% 1:2% 2:2% 3:2%	0:51% 1:10% 2:6% 3:14%	0:5 1:0 2:0 3:0
Б	10	0.4467	0.2803	2.0199	0.4698	0.4211	0.5491	0.5187	0.2413	82991	29092	112121	5	0.7182	1.411	4.959	83	2.94	2.29	0.996	0.394	1:31% 2:42% 3:47% 4:49% 5:48% 6:56%	0:95% 1:2% 2:1% 3:2%	0:46% 1:16% 2:3% 3:15%	0:5 1:0 2:0 3:0
Б	11	0.4949	0.3555	2.2348	0.3618	0.3337	0.5351	0.5415	0.2536	119138	22991	142181	6	1.0000	1.415	6.297	86	2.78	1.91	0.986	0.391	1:38% 2:47% 3:50% 4:51% 5:53% 6:50% 7:0%	0:95% 1:2% 2:2% 3:1%	0:51% 1:15% 2:6% 3:9%	0:6 1:0 2:0 3:0
Б	12	0.4795	0.3099	1.9970	0.3906	0.3623	0.5459	0.5393	0.2458	98707	25204	123943	5	0.7549	1.601	5.952	85	2.83	2.44	0.985	0.392	1:39% 2:46% 3:49% 4:50% 5:51% 6:67%	0:95% 1:2% 2:1% 3:2%	0:50% 1:17% 2:5% 3:10%	0:5 1:0 2:0 3:0
В	2	0.5538	0.3500	2.4016	0.3406	0.6671	0.5907	0.5921	0.2730	123129	16838	140015	6	0.8651	1.506	6.457	82	2.89	1.16	0.995	0.383	1:44% 2:50% 3:54% 4:59% 5:62% 6:64%	0:100% 1:0% 2:0% 3:0%	0:55% 1:-% 2:-% 3:-%	
В	3	0.5888	0.3818	2.6428	0.3144	0.6174	0.5861	0.6112	0.2641	142816	9879	152736	6	0.9491	1.428	6.805	86	3.01	1.68	0.999	0.377	1:52% 2:56% 3:58% 4:60% 5:63% 6:66% 7:14%	0:100% 1:0% 2:0% 3:0%	0:59% 1:-% 2:-% 3:-%	
В	1	0.4812	0.3961	3.1076	0.5065	0.7037	0.5832	0.5997	0.3056	94580	63803	158430	5	0.7937	0.749	4.907	79	2.90	0.72	0.997	0.391	1:41% 2:40% 3:43% 4:50% 5:59% 6:64% 7:58% 8:40%	0:100% 1:0% 2:0% 3:0%	0:48% 1:-% 2:-% 3:-%	
В	4	0.5847	0.3850	2.7756	0.3430	0.6598	0.5888	0.6466	0.2790	128037	25927	154002	4	0.9926	1.306	6.488	82	2.91	2.55	0.995	0.394	1:42% 2:49% 3:55% 4:62% 5:67% 6:70% 7:51%	0:100% 1:0% 2:0% 3:0%	0:58% 1:-% 2:-% 3:-%	
В	5	0.7177	0.4244	2.9799	0.1810	0.6527	0.5905	0.7408	0.2656	161454	8227	169743	4	0.9742	1.609	8.177	84	2.92	2.66	0.839	0.331	1:66% 2:71% 3:72% 4:72% 5:73% 6:70% 7:100%	0:100% 1:0% 2:0% 3:0%	0:72% 1:-% 2:-% 3:-%	
В	7	0.5928	0.3889	3.1129	0.3800	0.6896	0.5882	0.6883	0.3077	116511	39009	155559	6	0.9193	1.104	5.925	86	2.93	1.88	0.998	0.378	1:33% 2:37% 3:51% 4:63% 5:70% 6:71% 7:73% 8:71%	0:100% 1:0% 2:0% 3:0%	0:59% 1:-% 2:-% 3:-%	
В	6	0.5803	0.3826	2.6863	0.3329	0.6563	0.5935	0.6569	0.2759	122258	30743	153039	6	0.8644	1.360	6.612	83	2.86	1.33	0.851	0.337	1:43% 2:51% 3:58% 4:61% 5:62% 6:58% 7:44%	0:100% 1:0% 2:0% 3:0%	0:58% 1:-% 2:-% 3:-%	
В	8	0.5005	0.3057	2.2055	0.4180	0.6804	0.5911	0.5612	0.2707	96694	25540	122276	7	0.8353	1.470	5.550	87	2.80	1.94	0.989	0.392	1:39% 2:42% 3:50% 4:57% 5:61% 6:70% 7:33%	0:100% 1:0% 2:0% 3:0%	0:50% 1:-% 2:-% 3:-%	
В	9	0.6425	0.4465	3.1295	0.2641	0.6512	0.5911	0.6826	0.2835	160601	17951	178602	4	0.9913	1.253	7.334	79	2.87	2.71	0.980	0.390	1:49% 2:52% 3:60% 4:64% 5:69% 6:73% 7:74% 8:74%	0:100% 1:0% 2:0% 3:0%	0:64% 1:-% 2:-% 3:-%	
В	11	0.7146	0.4140	2.8857	0.1793	0.6541	0.5903	0.7450	0.2566	155249	10298	165604	6	0.9394	1.676	8.202	83	2.91	2.91	0.995	0.376	1:67% 2:72% 3:73% 4:71% 5:69% 6:70%	0:100% 1:0% 2:0% 3:0%	0:71% 1:-% 2:-% 3:-%	
В	10	0.7314	0.4982	3.4553	0.1558	0.6585	0.5835	0.7377	0.3717	195789	3417	199263	7	0.8673	1.317	8.436	83	2.84	2.83	0.995	0.393	1:72% 2:73% 3:72% 4:73% 5:74% 6:74% 7:75% 8:74%	0:100% 1:0% 2:0% 3:0%	0:73% 1:-% 2:-% 3:-%	
В	12	0.7204	0.4335	3.1425	0.2040	0.6542	0.5945	0.7272	0.3637	170083	3261	173393	5	0.9202	1.492	7.950	85	2.88	2.06	0.999	0.362	1:67% 2:71% 3:72% 4:72% 5:73% 6:74% 7:58%	0:100% 1:0% 2:0% 3:0%	0:72% 1:-% 2:-% 3:-%	
Г	1	0.5135	0.4800	2.8818	0.3155	0.7054	0.5960	0.5587	0.2675	162136	29818	192012	4	0.9532	0.982	6.843	79	2.97	0.02	0.999	0.374	1:35% 2:39% 3:44% 4:52% 5:56% 6:59% 7:63% 8:56%	0:86% 1:6% 2:3% 3:5%	0:56% 1:21% 2:14% 3:21%	0:4 1:0 2:0 3:0
Г	3	0.6731	0.4499	3.0632	0.2078	0.6517	0.5865	0.6843	0.3501	173876	6015	179954	5	0.8861	1.397	7.909	82	2.86	2.26	0.997	0.365	1:63% 2:67% 3:67% 4:67% 5:68% 6:68% 7:69% 8:66%	0:95% 1:2% 2:1% 3:2%	0:70% 1:16% 2:3% 3:16%	0:5 1:0 2:0 3:0
Г	2	0.5199	0.2935	2.0978	0.3805	0.6739	0.5891	0.5620	0.2814	99752	17611	117397	5	0.9378	1.678	5.819	77	2.93	0.16	0.997	0.394	1:40% 2:48% 3:54% 4:56% 5:57% 6:51%	0:94% 1:3% 2:1% 3:2%	0:54% 1:21% 2:8% 3:19%	0:5 1:0 2:0 3:0
