Ф0	1809	0	1.0026	0.8119	0.0217	0.0191	1.2867	1.4228	1.0000	1.0000	80	80	80
Ф300	1809	300	0.3415	0.7120	0.0217	0.6725	1.2867	1.4950	0.3250	0.0000	80	40	40
Ф100	1809	100	0.4550	1.5445	0.0217	0.5603	1.2867	0.8929	0.7375	0.0837	80	80	80
Ф1000	1809	1000	0.0000	0.0000	0.0217	1.0100	1.2867	2.0100	0.0000	0.0000	80	0	0
Ф1000-с	1809	1000	0.0000	0.0000	0.0217	1.0100	1.2867	2.0100	0.0000	0.0000	80	0	0
Ф1000-х	1809	1000	0.1583	0.8903	0.0217	0.8535	1.2867	1.3661	1.0000	0.0000	80	80	80
Ф0	1810	0	1.0006	0.5833	0.0197	0.0191	1.0282	1.4373	1.0000	1.0000	87	87	87
Ф100	1810	100	0.3741	0.8871	0.0197	0.6395	1.0282	1.1391	0.7011	0.0545	87	82	82
Ф300	1810	300	0.0032	0.9335	0.0197	1.0068	1.0282	1.0934	0.2874	0.0000	87	37	37
Ф1000	1810	1000	0.0000	0.0000	0.0197	1.0100	1.0282	2.0100	0.0000	0.0000	87	0	0
Ф1000-с	1810	1000	0.0000	0.0000	0.0197	1.0100	1.0282	2.0100	0.0000	0.0000	87	0	0
Ф1000-х	1810	1000	-0.0090	0.7727	0.0197	1.0189	1.0282	1.2513	1.0000	0.0000	87	87	87
Ф0	1811	0	1.0007	0.9824	0.0226	0.0220	1.1901	1.2045	1.0000	1.0000	84	84	84
Ф300	1811	300	0.1113	0.8553	0.0226	0.9001	1.1901	1.3087	0.5357	0.0000	84	56	56
Ф100	1811	100	0.4452	0.7131	0.0226	0.5704	1.1901	1.4253	0.8095	0.0622	84	80	80
Ф1000	1811	1000	0.0000	0.0000	0.0226	1.0100	1.1901	2.0100	0.0000	0.0000	84	0	0
Ф1000-с	1811	1000	0.0000	0.0000	0.0226	1.0100	1.1901	2.0100	0.0000	0.0000	84	0	0
Ф0	1812	0	0.9990	0.5131	0.0162	0.0172	0.6684	1.3217	1.0000	1.0000	86	86	86
Ф100	1812	100	0.1606	0.5635	0.0162	0.8503	0.6684	1.2540	0.7791	0.0041	86	84	85
Ф1000-х	1811	1000	0.0442	1.1412	0.0226	0.9663	1.1901	1.0743	1.0000	0.0000	84	84	84
Ф300	1812	300	0.1042	0.5988	0.0162	0.9064	0.6684	1.2067	0.3256	0.0000	86	42	42
Ф1000	1812	1000	0.0000	0.0000	0.0162	1.0100	0.6684	2.0100	0.0000	0.0000	86	0	0
Ф1000-х	1812	1000	0.0171	0.5178	0.0162	0.9930	0.6684	1.3154	1.0000	0.0000	86	86	86
Ф1000-с	1812	1000	0.0000	0.0000	0.0162	1.0100	0.6684	2.0100	0.0000	0.0000	86	0	0
