803	4	0.398	0.475	0.821	1/7	0.292	0.000	25.66	2.397	0.991	0.366
801	4	0.438	0.465	0.792	0/4	NaN	0.135	-2.81	-5.338	0.994	0.393
804	4	0.266	0.416	0.755	0/4	NaN	0.298	15.86	7.106	0.982	0.361
802	4	0.373	0.510	0.832	0/4	NaN	0.000	2.39	1.456	0.994	0.392
808	5	0.501	0.493	0.818	0/6	NaN	0.000	16.71	-7.811	0.992	0.393
807	4	0.365	0.458	0.790	0/4	NaN	0.022	8.98	-0.204	0.830	0.330
805	4	0.439	0.514	0.813	0/4	NaN	0.000	0.16	-1.052	0.991	0.392
806	4	0.404	0.480	0.812	0/4	NaN	0.416	-1.32	-3.039	0.997	0.394
811	4	0.433	0.490	0.812	0/4	NaN	0.000	9.46	-5.678	0.990	0.392
809	4	0.466	0.507	0.815	0/5	NaN	0.121	16.51	6.208	0.996	0.380
810	4	0.391	0.445	0.763	0/4	NaN	0.000	-3.40	-2.415	0.835	0.330
812	4	0.322	0.485	0.803	0/4	NaN	0.000	9.60	6.266	0.995	0.367
