ворота	1203	0.973	0.228	0.507	0.001	0.104	0.000	1.118	2.454	0.996	7.49e-47	1.04e-128	4
ворота	1201	0.909	0.126	0.992	0.001	0.048	0.000	1.016	2.159	0.989	7.38e-20	2.53e-22	8
ворота	1202	0.960	0.116	1.004	0.004	0.052	0.001	1.001	2.724	0.991	5.33e-19	5.79e-22	8
ворота	1204	0.964	0.303	0.939	0.006	0.080	0.001	1.299	2.544	0.993	2.11e-20	7.13e-25	8
ворота	1205	0.903	0.157	0.819	0.002	0.081	0.000	1.651	2.643	0.983	1.08e-21	6.43e-22	8
ворота	1208	1.015	0.182	1.019	0.008	0.092	0.002	1.005	2.556	0.996	7.16e-26	6.80e-94	8
ворота	1206	1.002	0.197	0.985	0.003	0.098	0.001	0.853	2.244	0.997	1.02e-24	6.60e-101	8
ворота	1207	0.723	0.049	0.937	0.010	0.108	0.001	1.027	2.697	0.988	4.92e-3	2.85e-1	8
ворота	1209	0.878	0.170	0.815	0.005	0.087	0.000	1.354	2.139	0.980	6.15e-36	2.14e-58	5
ворота	1210	0.840	0.234	0.842	0.002	0.080	0.001	1.247	2.624	0.971	5.98e-4	1.31e-2	8
ворота	1211	0.991	0.248	0.953	0.016	0.065	0.000	1.301	2.689	0.951	9.30e-27	3.22e-30	8
ворота	1212	0.783	0.254	0.869	0.004	0.057	0.000	1.179	2.486	0.980	1.92e-31	4.25e-44	8
