HOLD=0	1303	0.781	0.032	0.762	0.001	0.018	0.000	1.029	2.530	0.989	3.95e-29	5.39e-29	8
HOLD=0	1304	0.865	0.102	0.670	0.000	0.069	0.000	1.391	2.124	0.964	1.48e-35	1.26e-48	8
HOLD=0	1302	0.760	0.016	0.588	0.000	0.001	0.000	1.253	2.106	0.996	5.59e-30	1.32e-116	4
HOLD=0	1301	0.960	0.239	0.981	0.005	0.132	0.002	1.153	2.831	0.973	6.47e-24	1.03e-23	8
HOLD=0	1305	1.003	0.330	0.938	0.004	0.137	0.001	1.251	2.746	0.995	6.14e-21	9.29e-24	8
HOLD=0	1307	1.017	0.191	0.951	-0.010	0.040	0.001	1.419	1.942	0.841	1.15e-19	3.23e-20	8
HOLD=0	1306	1.042	0.159	0.881	0.005	0.027	0.000	1.288	2.529	0.905	6.08e-44	1.46e-52	8
HOLD=0	1308	0.978	0.336	0.966	-0.036	0.118	0.002	0.991	2.538	0.958	1.40e-18	8.25e-22	8
HOLD=0	1309	0.837	0.031	0.817	0.001	0.010	0.000	1.297	2.372	0.991	6.98e-45	3.39e-128	5
HOLD=0	1311	0.951	0.167	0.981	0.001	0.078	0.001	1.558	2.550	0.984	1.82e-22	4.11e-24	8
HOLD=0	1310	0.971	0.307	0.847	-0.000	0.088	0.000	2.513	2.385	0.961	1.31e-27	1.23e-27	8
HOLD=0	1312	0.948	0.183	0.885	0.006	0.103	0.001	0.979	2.393	0.970	2.84e-27	4.70e-27	8
HOLD=1	1301	0.995	0.998	0.889	-4.539655776201908e+60	0.701	NaN	NaN	NaN	NaN	NaN	0.00e+0	0
HOLD=1	1302	0.698	-458.442	0.864	-2258091691938732.500	0.148	0.101	11786063.832	2.324	0.984	4.41e-1	4.52e-2	8
HOLD=1	1303	0.617	0.249	0.664	-1701.217	0.485	0.050	23.336	2.316	0.996	1.05e-6	2.31e-7	8
HOLD=1	1304	0.975	0.600	0.838	-12431.300	0.586	0.255	66.446	2.127	0.974	Infinity	7.37e-1	4
HOLD=1	1305	0.992	0.955	0.943	-0.732	0.749	0.367	1.126	2.507	0.994	1.80e-2	2.48e-2	8
HOLD=1	1308	0.573	-0.468	0.588	1020.865	0.568	0.110	21.185	2.518	0.985	1.97e-5	1.50e-5	8
HOLD=1	1307	0.994	0.872	0.973	-12.320	0.484	0.328	1.750	2.884	0.843	8.48e+2	3.33e-1	8
HOLD=1	1306	0.979	0.354	-3.391	-2.0056035689605628e+52	0.625	NaN	NaN	NaN	NaN	NaN	0.00e+0	0
HOLD=1	1309	0.990	0.679	0.817	-39.769	0.359	0.254	4.753	2.675	0.984	5.83e-19	3.80e-19	8
HOLD=1	1312	1.043	0.927	-38.897	-3.9596353323459715e+76	0.881	0.983	NaN	NaN	NaN	NaN	0.00e+0	0
HOLD=1	1310	0.877	0.483	-1663.430	-2.906311257397255e+67	0.700	NaN	NaN	NaN	NaN	NaN	0.00e+0	0
HOLD=1	1311	0.854	0.788	0.817	-0.499	0.485	0.332	1.835	2.459	0.978	1.35e+26	1.14e+0	8
