704	пауза	1.704	-1.896	0.921	2.422	1.173,0.422,0.109,-0.008,0.074	0.987	0.391
702	пауза	0.972	-4.447	1.043	1.549	1.085,0.367,0.143,-0.039,0.048	0.995	0.393
701	пауза	1.220	0.417	1.094	1.513	1.021,0.278,0.097,0.004,0.078	0.984	0.390
703	пауза	1.944	5.762	1.069	2.451	1.009,0.453,0.185,0.014,0.028	0.993	0.392
707	пауза	1.114	-4.326	1.062	11.815	1.067,0.148,0.226,0.058,-0.023	0.990	0.391
705	пауза	1.200	-2.939	0.910	2.278	0.824,0.290,0.140,0.008,0.070	0.990	0.392
706	пауза	1.392	1.597	0.544	3.328	0.804,0.222,0.184,-0.005,0.073	0.997	0.394
708	пауза	0.576	-2.553	0.728	2.641	0.652,0.126,0.268,-0.024,0.007	0.983	0.386
709	пауза	1.363	2.497	1.243	36.732	1.280,0.236,-0.067,-0.041,-0.043	1.000	0.440
711	пауза	0.909	1.063	1.092	-2.633	0.921,0.248,0.034,0.046,0.015	0.986	0.393
710	пауза	2.271	4.990	1.178	1.793	1.078,0.334,0.116,-0.014,0.024	0.985	0.391
712	пауза	1.543	3.652	1.406	1.559	1.143,0.337,0.135,0.161,0.023	0.994	0.394
701	без паузы	-0.372	-4.213	-0.003	-0.020	-0.015,-0.055,-0.029,-0.059,0.044	0.994	0.394
702	без паузы	-0.140	-1.175	-0.014	0.058	0.011,-0.007,0.004,-0.016,0.112	0.987	0.391
703	без паузы	-0.124	-3.482	-0.017	0.056	-0.017,0.109,-0.012,-0.057,-0.021	0.994	0.393
704	без паузы	0.194	1.637	0.008	0.025	-0.014,0.048,0.037,0.033,-0.059	0.995	0.394
706	без паузы	-0.156	-2.653	-0.004	-0.037	-0.070,-0.069,0.007,-0.043,0.015	0.994	0.394
705	без паузы	0.034	1.492	-0.026	0.004	0.003,-0.005,0.205,0.015,-0.074	0.849	0.335
707	без паузы	0.358	3.325	-0.001	-1.209	-0.000,-0.100,-0.019,-0.039,-0.052	0.987	0.392
708	без паузы	0.369	6.392	-0.003	1.554	-0.095,-0.023,-0.038,0.025,-0.024	0.993	0.393
709	без паузы	0.043	-0.627	-0.011	17.170	-0.027,-0.078,0.052,0.016,-0.046	1.000	0.438
710	без паузы	-0.635	-6.300	-0.005	-0.130	-0.043,0.068,0.016,-0.050,0.016	0.992	0.393
711	без паузы	0.010	2.644	-0.022	17.289	0.073,0.095,0.101,-0.005,0.000	0.989	0.392
712	без паузы	-0.115	-2.260	0.022	-0.021	0.025,0.036,-0.043,-0.028,0.031	0.994	0.393
