A0	7101	0	0	0	0.02044
B0	7101	1	0	0	0.13679
A	7101	0	2000	0	0.37381
B	7101	1	2000	0	0.22098
Bn	7101	0	2000	0	0.37850
A	7101	0	2000	1	0.38382
A0	7101	0	0	1	0.15093
B	7101	1	2000	1	0.29050
B0	7101	1	0	1	0.01768
Bn	7101	0	2000	1	0.35124
B	7102	1	2000	0	0.31035
A	7102	0	2000	0	0.25991
A0	7102	0	0	0	0.02033
B0	7102	1	0	0	0.99837
A	7102	0	2000	1	0.19292
Bn	7102	0	2000	0	0.30571
B	7102	1	2000	1	0.20827
A0	7102	0	0	1	0.25373
B0	7102	1	0	1	0.01921
Bn	7102	0	2000	1	0.20827
A	7103	0	2000	0	0.34062
B	7103	1	2000	0	0.38204
A0	7103	0	0	0	0.02015
B0	7103	1	0	0	0.30967
Bn	7103	0	2000	0	0.37234
A	7103	0	2000	1	0.48644
B	7103	1	2000	1	0.30545
A0	7103	0	0	1	1.04250
B0	7103	1	0	1	0.02244
Bn	7103	0	2000	1	0.40001
B	7104	1	2000	0	0.19595
A	7104	0	2000	0	0.42663
A0	7104	0	0	0	0.01920
B0	7104	1	0	0	0.25448
Bn	7104	0	2000	0	0.45746
A	7104	0	2000	1	0.37825
B	7104	1	2000	1	0.25098
B0	7104	1	0	1	0.02210
A0	7104	0	0	1	0.26487
Bn	7104	0	2000	1	0.53535
A	7105	0	2000	0	0.35504
B	7105	1	2000	0	0.47874
A0	7105	0	0	0	0.02134
B0	7105	1	0	0	1.55180
Bn	7105	0	2000	0	0.37120
A	7105	0	2000	1	0.40820
B	7105	1	2000	1	0.31044
A0	7105	0	0	1	0.13192
B0	7105	1	0	1	0.01630
Bn	7105	0	2000	1	0.54960
A	7106	0	2000	0	0.09425
B	7106	1	2000	0	0.38875
A0	7106	0	0	0	0.01769
B0	7106	1	0	0	0.63546
A	7106	0	2000	1	0.91602
Bn	7106	0	2000	0	0.19564
B	7106	1	2000	1	0.42461
A0	7106	0	0	1	1.70770
B0	7106	1	0	1	0.02040
Bn	7106	0	2000	1	0.19439
A	7107	0	2000	0	0.31731
B	7107	1	2000	0	0.61265
B0	7107	1	0	0	1.18497
A0	7107	0	0	0	0.02050
Bn	7107	0	2000	0	0.15122
A	7107	0	2000	1	0.31905
B	7107	1	2000	1	0.27823
A0	7107	0	0	1	0.61398
B0	7107	1	0	1	0.02008
Bn	7107	0	2000	1	0.73831
A	7108	0	2000	0	0.40730
B	7108	1	2000	0	0.58123
A0	7108	0	0	0	0.01967
B0	7108	1	0	0	0.44123
Bn	7108	0	2000	0	0.45890
A	7108	0	2000	1	0.29250
B	7108	1	2000	1	0.63297
A0	7108	0	0	1	0.87275
B0	7108	1	0	1	0.01895
Bn	7108	0	2000	1	0.44248
A	7109	0	2000	0	0.39626
B	7109	1	2000	0	0.57327
A0	7109	0	0	0	0.01835
B0	7109	1	0	0	0.61175
Bn	7109	0	2000	0	0.52209
A	7109	0	2000	1	0.43929
B	7109	1	2000	1	0.50170
A0	7109	0	0	1	0.11455
B0	7109	1	0	1	0.01990
Bn	7109	0	2000	1	0.41344
B	7110	1	2000	0	0.50299
A	7110	0	2000	0	0.26686
B0	7110	1	0	0	0.74814
A0	7110	0	0	0	0.01951
Bn	7110	0	2000	0	0.48091
A	7110	0	2000	1	0.29268
A0	7110	0	0	1	0.32743
B	7110	1	2000	1	0.33445
B0	7110	1	0	1	0.01707
Bn	7110	0	2000	1	0.48492
A	7111	0	2000	0	0.42706
B	7111	1	2000	0	0.59876
B0	7111	1	0	0	0.14666
A0	7111	0	0	0	0.02221
Bn	7111	0	2000	0	0.36105
A	7111	0	2000	1	0.48790
B	7111	1	2000	1	0.61571
A0	7111	0	0	1	0.29052
B0	7111	1	0	1	0.02429
Bn	7111	0	2000	1	0.38247
B	7112	1	2000	0	0.20683
A	7112	0	2000	0	0.23995
A0	7112	0	0	0	0.02121
B0	7112	1	0	0	0.18418
Bn	7112	0	2000	0	0.50131
A	7112	0	2000	1	0.29433
A0	7112	0	0	1	0.41641
B	7112	1	2000	1	0.21705
B0	7112	1	0	1	0.01896
Bn	7112	0	2000	1	0.36725
