BR	9010	30.433	247.900	0.7218	8.00	8	48	NaN	0.0005	-0.0006	612	0.3405
FM	9010	11.800	0.467	-0.1276	8.00	8	48	11.533	-0.0036	0.0238	625	0.7973
FM0	9010	0.133	638.667	0.1437	8.00	8	48	0.133	0.0150	-0.0100	608	0.1126
FBR	9010	7.100	656.667	0.4861	8.00	8	48	0.667	-0.0023	-0.0035	613	0.2655
M	9011	0.033	2.933	-0.0010	8.00	8	48	NaN	-0.0049	-0.0027	641	0.8498
M0	9011	0.000	753.267	0.1694	8.00	8	48	NaN	-0.0010	0.0019	579	0.1025
BR	9011	28.800	285.733	0.7087	8.00	8	48	NaN	-0.0078	0.0001	587	0.3349
FM	9011	0.000	1.967	-0.0069	8.00	8	48	0.000	-0.0027	-0.0011	616	0.8314
FM0	9011	0.167	489.667	-0.0013	8.00	8	48	0.333	0.0044	-0.0052	628	0.1257
FBR	9011	7.500	644.533	0.5024	8.00	8	48	0.600	-0.0036	0.0072	560	0.2694
M	9012	0.000	0.000	-0.0019	8.00	8	48	NaN	-0.0001	0.0021	628	0.8787
M0	9012	0.033	644.433	0.2180	8.00	8	48	NaN	-0.0113	0.0197	591	0.1103
BR	9012	27.833	282.967	0.7024	8.00	8	48	NaN	-0.0102	-0.0023	634	0.3317
FM	9012	0.000	64.833	-0.0159	8.00	8	48	0.000	-0.1704	0.0872	618	0.7852
FM0	9012	0.533	272.200	-0.0349	8.00	8	48	0.333	0.0045	-0.0034	585	0.1423
FBR	9012	7.300	652.800	0.5033	8.00	8	48	0.533	0.0081	-0.0080	579	0.2688
