3604	0.8491	0.9174	0.8863	1.0323	1.1255	0.8968	0.9214	0.8648	0.8874	1.0060	0.3895	0.7700
3601	1.0939	0.9019	0.9720	-2.4894	0.5378	0.2275	0.0519	0.3353	0.1813	0.6145	0.3949	0.5355
3603	0.8972	0.8258	0.8653	0.3038	0.7234	0.5056	0.8349	0.8805	0.8598	0.7008	0.6301	0.6765
3602	0.8123	1.0908	0.9679	0.8104	2.4921	1.1026	0.9164	0.8846	0.8982	0.9001	0.1192	0.4296
3605	0.9695	0.2267	0.8398	2.9566	0.9540	-0.2107	0.9375	1.0045	0.9696	0.5569	0.7681	0.6551
3606	0.6812	0.6401	0.6584	-1.6590	0.9564	0.4423	0.8832	0.8249	0.8612	0.4828	8.9882	-3.9784
3607	0.8404	0.9814	0.9438	0.7771	0.9659	1.0299	0.7842	0.9634	0.9028	0.9496	0.9304	0.9394
3608	1.0962	0.8383	1.0197	0.8594	-16.3102	0.2589	-0.0023	0.7792	0.5031	0.7700	0.8218	0.8025
3610	0.6406	0.4527	0.5898	0.9244	-1.2628	1.1782	0.9144	0.9655	0.9341	0.7050	-2.6717	0.1691
3609	1.0830	0.9716	1.0041	0.3109	49.9217	-0.9494	0.9178	0.9062	0.9108	0.4924	286.3532	-0.0312
3611	0.3786	0.6593	0.5174	0.7734	0.7493	0.7719	0.9852	0.8757	0.9463	3.1838	0.6963	0.3450
3612	0.8786	0.8245	0.8526	0.5060	-0.4647	0.2889	0.9440	0.9508	0.9478	0.4838	0.3270	0.4456
