3904	0	0.9529	0.9529	9.48e-1	1.000	0.000	0.000	0.000	0.000	0.953	8
3901	0	0.9600	0.9600	9.44e-1	1.000	0.000	0.000	0.000	0.000	0.960	8
3903	0	0.9592	0.9546	9.33e-1	0.485	0.000	0.018	0.287	0.210	0.955	8
3901	1	0.9555	0.9555	9.35e-1	1.000	0.000	0.000	0.000	0.000	0.956	8
3902	0	0.9900	0.9900	9.91e-1	1.000	0.000	0.000	0.000	0.000	1.007	8
3904	1	0.9900	0.9574	9.27e-1	0.000	1.000	0.000	0.000	0.000	1.067	8
3901	2	0.9581	0.9581	9.45e-1	1.000	0.000	0.000	0.000	0.000	0.958	8
3903	1	0.9771	0.9151	9.13e-1	0.436	0.003	0.000	0.332	0.229	0.915	8
3902	1	0.9900	0.9900	9.99e-1	0.989	0.005	0.000	0.005	0.000	1.018	8
3904	2	0.9437	0.9325	9.30e-1	0.000	1.000	0.000	0.000	0.000	0.944	8
3901	3	0.9900	0.9900	9.86e-1	1.000	0.000	0.000	0.000	0.000	1.003	8
3902	2	0.9835	0.9835	7.47e-1	1.000	0.000	0.000	0.000	0.000	0.984	8
3903	2	0.9131	0.9131	9.53e-1	1.000	0.000	0.000	0.000	0.000	0.913	8
3904	3	0.9483	0.9483	9.41e-1	0.998	0.000	0.002	0.000	0.000	0.948	8
3903	3	0.9559	0.9559	1.01e+0	1.000	0.000	0.000	0.000	0.000	0.956	8
3902	3	0.9900	0.9878	9.58e-1	0.000	0.302	0.000	0.697	0.000	1.055	8
3901	4	0.9754	0.9754	9.67e-1	0.999	0.001	0.000	0.000	0.000	0.975	8
3902	4	0.9842	0.9842	9.82e-1	1.000	0.000	0.000	0.000	0.000	0.984	8
3904	4	0.9867	0.9867	9.82e-1	1.000	0.000	0.000	0.000	0.000	0.987	8
3903	4	1.0173	0.9710	9.52e-1	0.378	0.096	0.004	0.287	0.236	0.971	8
3902	5	0.9671	0.9671	9.64e-1	1.000	0.000	0.000	0.000	0.000	0.967	8
3901	5	0.9856	0.9856	9.81e-1	1.000	0.000	0.000	0.000	0.000	0.986	8
3904	5	0.9741	0.9741	9.72e-1	1.000	0.000	0.000	0.000	0.000	0.974	8
3903	5	1.0204	0.9616	9.78e-1	0.247	0.300	0.000	0.228	0.224	0.962	8
3903	6	0.9671	0.9671	9.44e-1	0.956	0.044	0.000	0.000	0.000	0.967	8
3902	6	0.9567	0.9567	1.01e+0	1.000	0.000	0.000	0.000	0.000	0.957	8
3904	6	0.9527	0.9527	9.40e-1	1.000	0.000	0.000	0.000	0.000	0.953	8
3901	6	0.9864	0.9864	9.83e-1	0.983	0.017	0.000	0.000	0.000	0.986	8
3903	7	0.9673	0.9673	9.32e-1	1.000	0.000	0.000	0.000	0.000	0.967	8
3902	7	0.9900	0.9780	1.01e+0	0.000	1.000	0.000	0.000	0.000	1.142	8
3903	8	0.9730	0.9730	9.40e-1	1.000	0.000	0.000	0.000	0.000	0.973	8
3904	7	0.9595	0.9595	9.51e-1	1.000	0.000	0.000	0.000	0.000	0.959	8
3901	7	0.9853	0.9853	9.79e-1	1.000	0.000	0.000	0.000	0.000	0.985	8
3902	8	0.9900	0.9900	1.00e+0	1.000	0.000	0.000	0.000	0.000	1.021	8
3904	8	0.9407	0.9407	9.29e-1	1.000	0.000	0.000	0.000	0.000	0.941	8
3903	9	0.9676	0.9676	8.92e-1	1.000	0.000	0.000	0.000	0.000	0.968	8
3901	8	0.9866	0.9866	9.82e-1	1.000	0.000	0.000	0.000	0.000	0.987	8
3903	10	0.9780	0.9780	9.50e-1	1.000	0.000	0.000	0.000	0.000	0.978	8
3904	9	0.9322	0.9322	9.15e-1	1.000	0.000	0.000	0.000	0.000	0.932	8
3902	9	0.9685	0.9685	9.61e-1	0.985	0.015	0.000	0.000	0.000	0.968	8
3901	9	0.9723	0.9723	9.56e-1	1.000	0.000	0.000	0.000	0.000	0.972	8
3903	11	0.9795	0.9795	9.67e-1	1.000	0.000	0.000	0.000	0.000	0.979	8
3901	10	0.9758	0.9758	9.68e-1	1.000	0.000	0.000	0.000	0.000	0.976	8
3904	10	0.9460	0.9460	9.37e-1	1.000	0.000	0.000	0.000	0.000	0.946	8
3902	10	0.9900	0.9707	9.44e-1	0.000	1.000	0.000	0.000	0.000	1.189	8
3902	11	0.9949	0.9837	3.67e+0	0.784	0.204	0.000	0.012	0.000	1.686	8
3901	11	0.9662	0.9662	9.52e-1	1.000	0.000	0.000	0.000	0.000	0.966	8
3903	12	0.9615	0.9615	9.87e-1	1.000	0.000	0.000	0.000	0.000	0.961	8
3904	11	0.9369	0.9369	9.33e-1	1.000	0.000	0.000	0.000	0.000	0.937	8
3902	12	0.9434	0.9434	9.93e-1	0.911	0.088	0.000	0.001	0.000	0.943	8
3901	12	0.9900	0.9900	9.90e-1	0.966	0.000	0.000	0.034	0.000	1.004	8
3903	13	0.9574	0.9574	9.12e-1	1.000	0.000	0.000	0.000	0.000	0.957	8
3901	13	0.9900	0.9900	9.90e-1	1.000	0.000	0.000	0.000	0.000	0.998	8
3904	12	0.9638	0.9638	9.59e-1	1.000	0.000	0.000	0.000	0.000	0.964	8
3902	13	0.9125	0.9123	7.72e-1	0.929	0.069	0.000	0.002	0.000	0.912	8
3903	14	0.9865	0.9865	9.95e-1	1.000	0.000	0.000	0.000	0.000	0.987	8
3901	14	0.9855	0.9855	9.75e-1	1.000	0.000	0.000	0.000	0.000	0.986	8
3902	14	0.9459	0.9459	9.90e-1	0.988	0.006	0.000	0.001	0.005	0.946	8
3904	13	0.9641	0.9641	9.62e-1	1.000	0.000	0.000	0.000	0.000	0.964	8
3903	15	0.9494	0.9494	9.82e-1	0.234	0.766	0.000	0.000	0.000	0.949	8
3901	15	0.9713	0.9713	9.52e-1	1.000	0.000	0.000	0.000	0.000	0.971	8
3904	14	0.9753	0.9753	9.72e-1	1.000	0.000	0.000	0.000	0.000	0.975	8
3902	15	0.9368	0.9396	1.20e+0	0.565	0.367	0.000	0.065	0.003	0.940	8
3903	16	0.9745	0.9745	9.83e-1	0.622	0.378	0.000	0.000	0.000	0.974	8
3902	16	0.9521	0.9175	1.01e+0	0.000	1.000	0.000	0.000	0.000	0.952	8
3901	16	0.9611	0.9611	9.44e-1	1.000	0.000	0.000	0.000	0.000	0.961	8
3904	15	0.9895	0.9895	9.87e-1	1.000	0.000	0.000	0.000	0.000	0.989	8
3902	17	0.9739	0.9115	7.52e-1	0.000	1.000	0.000	0.000	0.000	0.974	8
3903	17	0.9886	0.9886	9.41e-1	1.000	0.000	0.000	0.000	0.000	0.989	8
3904	16	0.9900	0.9697	9.66e-1	0.000	1.000	0.000	0.000	0.000	1.038	8
3901	17	0.9780	0.9780	9.75e-1	1.000	0.000	0.000	0.000	0.000	0.978	8
3903	18	0.9834	0.9834	1.02e+0	1.000	0.000	0.000	0.000	0.000	0.983	8
3902	18	0.9668	0.9668	9.92e-1	0.933	0.013	0.000	0.000	0.055	0.967	8
3904	17	0.9820	0.9820	9.80e-1	1.000	0.000	0.000	0.000	0.000	0.982	8
3901	18	0.9900	0.9900	9.90e-1	0.992	0.000	0.008	0.000	0.000	1.004	8
3902	19	0.9499	0.9498	8.48e-1	0.972	0.028	0.000	0.000	0.000	0.950	8
3903	19	0.9809	0.9809	9.58e-1	1.000	0.000	0.000	0.000	0.000	0.981	8
3904	18	0.9662	0.9662	9.63e-1	1.000	0.000	0.000	0.000	0.000	0.966	8
3902	20	0.9900	0.9453	9.31e-1	0.000	1.000	0.000	0.000	0.000	1.007	8
3901	19	0.9900	0.9900	9.90e-1	0.999	0.001	0.000	0.000	0.000	0.995	8
3904	19	0.9609	0.9609	9.55e-1	1.000	0.000	0.000	0.000	0.000	0.961	8
3903	20	0.9516	0.9516	9.50e-1	1.000	0.000	0.000	0.000	0.000	0.952	8
3902	21	0.9419	0.9419	1.49e+0	1.000	0.000	0.000	0.000	0.000	0.942	8
3901	20	0.9759	0.9759	9.66e-1	1.000	0.000	0.000	0.000	0.000	0.976	8
3902	22	0.9354	0.9354	8.73e-1	0.964	0.035	0.001	0.000	0.000	0.935	8
3904	20	0.9886	0.9886	9.87e-1	1.000	0.000	0.000	0.000	0.000	0.989	8
3903	21	0.9789	0.9789	9.16e-1	1.000	0.000	0.000	0.000	0.000	0.979	8
3901	21	0.9739	0.9739	9.68e-1	1.000	0.000	0.000	0.000	0.000	0.974	8
3903	22	0.9821	0.9821	1.00e+0	1.000	0.000	0.000	0.000	0.000	0.982	8
3904	21	0.9900	0.9900	9.90e-1	1.000	0.000	0.000	0.000	0.000	1.002	8
3902	23	0.9482	0.9482	9.32e-1	0.994	0.000	0.000	0.006	0.000	0.948	8
3903	23	0.9900	0.9900	8.42e-1	1.000	0.000	0.000	0.000	0.000	1.000	8
3901	22	0.9900	0.9900	9.90e-1	1.000	0.000	0.000	0.000	0.000	0.996	8
3904	22	0.9900	0.9900	9.89e-1	0.999	0.000	0.000	0.000	0.000	0.991	8
3903	24	0.9900	0.9900	1.01e+0	1.000	0.000	0.000	0.000	0.000	0.997	8
3902	24	0.9367	0.9367	8.96e-1	0.991	0.008	0.000	0.000	0.000	0.937	8
3901	23	0.9900	0.9900	9.87e-1	1.000	0.000	0.000	0.000	0.000	0.991	8
3904	23	0.9711	0.9711	9.66e-1	1.000	0.000	0.000	0.000	0.000	0.971	8
