проверка3	5001	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9996	-0.2121	0.9998	0.5410			0,9.511e-1	18.762059,1000.000000,252.029648,200.000000,19.185221,1000.000000,433.813935,200.000000	11.685497,600.000000,165.982996,120.000000,11.786834,600.000000,200.509518,120.000000
проверка3	5002	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0011	0.8474	1.0016	-0.3125			0,1.881e+0	22.818185,1000.000000,242.531748,200.000000,21.770366,1000.000000,266.860921,200.000000	13.382222,600.000000,195.060203,120.000000,12.412041,600.000000,255.616728,120.000000
проверка3	5003	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0002	-0.3049	0.9342	0.4201			0,1.341e+0	18.909174,1000.000000,268.925597,200.000000,18.698328,1000.000000,442.577507,200.000000	11.020972,600.000000,158.269285,120.000000,50.173502,600.000000,206.363778,120.000000
проверка3	5004	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0007	-0.6149	0.9983	0.8628			0,1.816e+0	21.067642,1000.000000,224.931339,200.000000,20.378404,1000.000000,510.879600,200.000000	11.645916,600.000000,153.363901,120.000000,12.653504,600.000000,165.417690,120.000000
проверка3	5005	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0004	-1.8924	1.0008	-0.4219			0,1.487e+0	19.151025,1000.000000,279.722190,200.000000,18.767291,1000.000000,633.396855,200.000000	11.327937,600.000000,148.885518,120.000000,10.869679,600.000000,280.142895,120.000000
проверка3	5006	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9996	0.3133	1.0005	0.5833			0,1.118e+0	20.818318,1000.000000,223.230293,200.000000,21.182094,1000.000000,345.988224,200.000000	12.758826,600.000000,137.404204,120.000000,12.441010,600.000000,180.653150,120.000000
проверка3	5007	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0005	-0.0744	0.9992	-0.6618			0,1.590e+0	20.715432,1000.000000,282.607662,200.000000,20.240437,1000.000000,410.880531,200.000000	11.238721,600.000000,160.634955,120.000000,11.695204,600.000000,294.516005,120.000000
проверка3	5008	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0001	1.0332	0.9974	0.9284			0,1.104e+0	21.585910,1000.000000,282.497404,200.000000,21.463726,1000.000000,278.529609,200.000000	13.600623,600.000000,143.854514,120.000000,15.117903,600.000000,150.826070,120.000000
проверка3	5009	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9995	0.5427	0.9997	0.3138			1,3.002e+2	19.369609,1000.000000,207.942421,200.000000,19.889128,1000.000000,296.694267,200.000000	11.739302,600.000000,155.695459,120.000000,11.923096,600.000000,214.372164,120.000000
проверка3	5010	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0004	1.1249	0.9989	0.9377			0,1.071e+0	21.491297,1000.000000,309.883263,200.000000,21.133953,1000.000000,298.373464,200.000000	13.782925,600.000000,137.798253,120.000000,14.422190,600.000000,144.240001,120.000000
проверка3	5011	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9998	0.6297	0.9990	0.3251			0,1.430e+0	19.785315,1000.000000,309.791836,200.000000,19.952321,1000.000000,343.941069,200.000000	11.496654,600.000000,148.345251,120.000000,12.082566,600.000000,211.012958,120.000000
проверка3	5012	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9991	0.3528	1.0002	0.2622			0,1.579e+0	18.037433,1000.000000,219.838559,200.000000,18.964403,1000.000000,337.728151,200.000000	11.058730,600.000000,161.483048,120.000000,10.941619,600.000000,220.295145,120.000000
