3704	224.295594	470.029975	185.198384	205.559990	425.617726	165.662145	402.180275	481.746563	393.700862	372.208838	429.464620	324.493277
3703	215.695026	350.116295	185.452600	268.144726	472.515344	210.191536	398.550082	352.581315	343.910481	315.064149	353.603212	296.197716
3702	145.632143	340.379140	145.863609	142.888640	287.764477	88.319716	296.879456	358.204785	263.959190	277.594710	283.422156	251.169059
3701	217.505622	343.555037	186.411849	189.169825	362.630989	158.717132	429.070424	561.929186	387.031526	481.710092	517.182405	432.424859
3706	175.055644	406.636337	168.148836	196.508985	353.155078	202.761806	309.357181	320.860219	282.200305	314.043081	399.156825	277.384173
3707	271.336765	682.632436	242.287578	241.271604	496.742401	197.314509	330.042027	387.622339	252.446019	217.637215	340.548669	213.227559
3708	215.540456	401.892688	164.151939	157.041152	406.591937	143.496536	399.543017	408.558558	330.261880	315.678936	412.671554	282.639136
3705	269.520815	394.748113	216.302807	206.670400	374.530923	176.034059	402.420077	453.189175	314.361315	302.244737	339.358493	245.476388
3709	235.058069	467.399359	211.570297	215.626733	480.853694	217.846255	310.035552	358.562658	267.803003	300.792337	403.341170	315.801052
3710	165.202932	444.615168	166.274298	235.425123	484.951006	219.860883	279.595530	433.596967	286.305267	320.709345	326.534168	314.798190
3712	199.408470	287.637875	164.621524	236.261417	477.647216	202.450080	442.875414	535.977346	407.652867	239.339958	354.757937	231.627133
3711	186.189149	429.205921	123.626588	216.184005	426.848139	201.301012	223.044692	273.572365	225.037722	398.201031	425.745514	322.697469
