4804	10	0	0.98116	0.98116
4804	10	1	0.98051	0.98051
4804	10	2	0.97909	0.97909
4804	10	3	0.98788	0.98788
4804	10	4	0.98125	0.98125
4804	10	5	0.98407	0.98407
4804	10	6	0.99000	0.99000
4804	10	7	0.99000	0.99000
4804	10	8	0.97740	0.97740
4804	10	9	0.97130	0.97130
4804	10	10	0.96934	0.96934
4804	10	11	0.96982	0.96982
4804	10	12	0.97605	0.97604
4804	10	13	0.97963	0.97963
4804	10	14	0.98192	0.98192
4804	10	15	0.97419	0.97419
4804	10	16	0.96946	0.96946
4804	10	17	0.96853	0.96853
4804	10	18	0.96382	0.96382
4804	10	19	0.96757	0.96757
4804	10	20	0.96153	0.96153
4804	10	21	0.96604	0.96604
4804	10	22	0.96809	0.96809
4804	10	23	0.96925	0.96925
4804	10	24	0.98215	0.98215
4804	10	25	0.98314	0.98314
4804	10	26	0.99000	0.99000
4804	10	27	0.98528	0.98528
4804	10	28	0.99000	0.99000
4804	10	29	0.99000	0.99000
4804	10	30	0.98617	0.98617
4804	10	31	0.98441	0.98441
4804	10	32	0.98584	0.98584
4804	10	33	0.98029	0.98029
4804	10	34	0.97812	0.97812
4804	10	35	0.96826	0.96826
4804	10	36	0.96731	0.96731
4804	10	37	0.96872	0.96872
4804	10	38	0.96517	0.96517
4804	10	39	0.95608	0.95608
4804	10	40	0.95470	0.95470
4804	10	41	0.95148	0.95148
4804	10	42	0.95690	0.95690
4804	10	43	0.99000	0.99000
4804	10	44	0.98353	0.98353
4804	10	45	0.98293	0.98293
4804	10	46	0.98152	0.98152
4804	10	47	0.97839	0.97839
4804	10	48	0.98467	0.98467
4804	10	49	0.98871	0.98871
4804	10	50	0.98085	0.98085
4804	10	51	0.97835	0.97835
4804	10	52	0.98037	0.98037
4804	10	53	0.98129	0.98129
4804	10	54	0.98229	0.98229
4804	10	55	0.98220	0.98220
4804	10	56	0.98292	0.98292
4804	10	57	0.97578	0.97578
4804	10	58	0.98279	0.98279
4804	10	59	0.98181	0.98181
4804	10	60	0.98344	0.98344
4804	10	61	0.97813	0.97813
4804	10	62	0.97696	0.97696
4804	10	63	0.96967	0.96967
4804	10	64	0.96920	0.96925
4804	10	65	0.97178	0.97178
4804	10	66	0.97440	0.97440
4804	10	67	0.96365	0.96365
4804	10	68	0.96038	0.96038
4804	10	69	0.97269	0.97269
4804	10	70	0.97124	0.96940
4804	10	71	0.97872	0.97872
4804	10	72	0.97478	0.97478
4804	10	73	0.98172	0.98172
4804	10	74	0.97865	0.97865
4804	10	75	0.97049	0.97049
4804	10	76	0.96679	0.96679
4804	10	77	0.96715	0.96715
4804	10	78	0.96540	0.96540
4804	10	79	0.96571	0.96571
4804	10	80	0.97103	0.97103
4804	10	81	0.98250	0.98250
4804	10	82	0.99000	0.99000
4804	10	83	0.98369	0.98369
4804	10	84	0.98861	0.98861
4804	10	85	0.99000	0.99000
4804	10	86	0.98980	0.98980
4804	10	87	0.98567	0.98567
4804	10	88	0.99000	0.99000
4804	10	89	0.99000	0.99000
4804	10	90	0.98625	0.98625
4804	10	91	0.98445	0.98445
4804	10	92	0.97616	0.97616
4804	10	93	0.97969	0.97969
4804	10	94	0.98678	0.98678
4804	10	95	0.98058	0.98058
4804	10	96	0.98366	0.98366
4804	10	97	0.97751	0.97751
4804	10	98	0.97114	0.97114
4804	10	99	0.97050	0.97050
4804	30	0	0.96739	0.96739
4804	30	1	0.96456	0.96456
4804	30	2	0.96910	0.96910
4804	30	3	0.97423	0.97422
4804	30	4	0.98151	0.98151
4804	30	5	0.98223	0.98223
4804	30	6	0.97598	0.97598
4804	30	7	0.97733	0.97733
4804	30	8	0.97493	0.97493
4804	30	9	0.98021	0.98021
4804	30	10	0.97826	0.97826
4804	30	11	0.99000	0.99000
4804	30	12	0.98152	0.98152
4804	30	13	0.97724	0.97724
4804	30	14	0.97827	0.97827
4804	30	15	0.98933	0.98933
4804	30	16	0.99000	0.99000
4804	30	17	0.98443	0.98443
4804	30	18	0.98506	0.98506
4804	30	19	0.98152	0.98152
4804	30	20	0.98228	0.98228
4804	30	21	0.97992	0.97992
4804	30	22	0.98277	0.98277
4804	30	23	0.98375	0.98219
4804	30	24	0.97838	0.97838
4804	30	25	0.97995	0.97995
4804	30	26	0.97892	0.97892
4804	30	27	0.97799	0.97799
4804	30	28	0.98146	0.98146
4804	30	29	0.98603	0.98603
4804	30	30	0.98457	0.98457
4804	30	31	0.98507	0.98507
4804	30	32	0.98445	0.98445
4804	30	33	0.98197	0.98197
4804	30	34	0.98600	0.98600
4804	30	35	0.98776	0.98776
4804	30	36	0.98296	0.98296
4804	30	37	0.98591	0.98591
4804	30	38	0.97865	0.97865
4804	30	39	0.97944	0.97944
4804	30	40	0.97450	0.97450
4804	30	41	0.97889	0.97889
4804	30	42	0.97463	0.97463
4804	30	43	0.97763	0.97763
4804	30	44	0.98184	0.98184
4804	30	45	0.98092	0.98092
4804	30	46	0.98224	0.98224
4804	30	47	0.98717	0.98717
4804	30	48	0.98267	0.98267
4804	30	49	0.97668	0.97668
4804	30	50	0.97514	0.97515
4804	30	51	0.97657	0.97657
4804	30	52	0.97884	0.97884
4804	30	53	0.97379	0.97379
4804	30	54	0.97717	0.97717
4804	30	55	0.97608	0.97608
4804	30	56	0.97228	0.97228
4804	30	57	0.97010	0.97010
4804	30	58	0.97006	0.97006
4804	30	59	0.96739	0.96739
4804	30	60	0.96761	0.96761
4804	30	61	0.96785	0.96785
4804	30	62	0.97184	0.97184
4804	30	63	0.97112	0.97112
4804	30	64	0.96897	0.96897
4804	30	65	0.96743	0.96743
4804	30	66	0.97404	0.97404
4804	30	67	0.97231	0.97231
4804	30	68	0.97577	0.97577
4804	30	69	0.98590	0.98590
4804	30	70	0.98199	0.98199
4804	30	71	0.98207	0.98207
4804	30	72	0.98132	0.98132
4804	30	73	0.98067	0.98067
4804	30	74	0.98583	0.98583
4804	30	75	0.98450	0.98450
4804	30	76	0.98434	0.98434
4804	30	77	0.98226	0.98226
4804	30	78	0.97998	0.97998
4804	30	79	0.97638	0.97638
4804	30	80	0.97615	0.97615
4804	30	81	0.98467	0.98467
4804	30	82	0.97724	0.97724
4804	30	83	0.97691	0.97691
4804	30	84	0.98028	0.98214
4804	30	85	0.97637	0.97637
4804	30	86	0.97665	0.97665
4804	30	87	0.97515	0.97515
4804	30	88	0.97266	0.97266
4804	30	89	0.97120	0.97120
4804	30	90	0.97150	0.97150
4804	30	91	0.97163	0.97163
4804	30	92	0.96726	0.96726
4804	30	93	0.97109	0.97109
4804	30	94	0.96721	0.96721
4804	30	95	0.96395	0.96395
4804	30	96	0.96503	0.96503
4804	30	97	0.96592	0.96592
4804	30	98	0.98526	0.98526
4804	30	99	0.98205	0.98205
