Ю	4401	0.5010	11911	1.0000	1493	116	8	0.000	0.000
ЮС	4401	0.4974	11871	1.0000	1486	109	8	0.000	0.000
Ю	4402	0.5313	7190	1.0000	1469	112	4	0.000	0.000
ЮЛ	4401	0.5514	7535	1.0000	1477	109	4	0.000	0.000
ЮС	4402	0.5211	6438	1.0000	1513	108	4	0.000	0.000
ЮЛС	4401	0.5836	10908	1.0000	1495	120	8	0.000	0.375
Ю	4403	0.5244	6177	1.0000	1449	108	4	0.000	0.000
ЮЛ	4402	0.5142	7779	1.0000	1507	112	4	0.000	0.000
ЮЛС	4402	0.5763	7413	1.0000	1466	116	4	0.000	0.250
ЮС	4403	0.5294	6864	1.0000	1496	113	8	0.000	0.000
Ю	4404	0.5249	6851	1.0000	1467	115	4	0.000	0.000
ЮЛ	4403	0.5531	6795	1.0000	1448	114	4	0.000	0.000
ЮС	4404	0.5170	6511	1.0000	1420	116	8	0.000	0.000
ЮЛС	4403	0.6203	7599	1.0000	1499	109	4	0.000	0.500
Ю	4405	0.5220	6751	1.0000	1494	108	4	0.000	0.000
ЮЛ	4404	0.5139	7362	1.0000	1502	111	4	0.000	0.250
ЮС	4405	0.5449	6539	1.0000	1515	114	6	0.000	0.000
ЮЛС	4404	0.5996	8711	1.0000	1461	114	4	0.000	0.500
ЮЛ	4405	0.5730	8914	1.0000	1495	116	5	0.000	1.000
Ю	4406	0.5034	6367	1.0000	1472	111	4	0.000	0.000
ЮС	4406	0.5382	6459	1.0000	1512	109	4	0.000	0.000
ЮЛС	4405	0.5449	7928	1.0000	1468	114	4	0.000	0.750
ЮЛ	4406	0.5167	6126	1.0000	1520	108	4	0.000	0.000
Ю	4407	0.5525	7043	1.0000	1476	118	8	0.000	0.000
ЮС	4407	0.5279	6289	1.0000	1468	110	6	0.000	0.000
ЮЛС	4406	0.5343	7090	1.0000	1494	112	8	0.125	0.375
Ю	4408	0.5101	6073	1.0000	1471	108	4	0.000	0.000
ЮЛ	4407	0.5331	7481	1.0000	1470	112	4	0.000	0.250
ЮС	4408	0.6153	7765	1.0000	1436	115	8	0.000	0.000
ЮЛС	4407	0.5887	7760	1.0000	1462	112	4	0.000	0.000
ЮЛ	4408	0.5206	6154	1.0000	1503	108	4	0.000	0.500
Ю	4409	0.5138	6647	1.0000	1477	111	4	0.000	0.000
ЮС	4409	0.5227	5994	1.0000	1471	112	4	0.000	0.000
ЮЛС	4408	0.5990	6875	1.0000	1498	115	4	0.000	0.250
Ю	4410	0.5155	7756	1.0000	1447	108	4	0.000	0.000
ЮЛ	4409	0.5137	7138	1.0000	1450	113	4	0.000	0.000
ЮС	4410	0.5267	6630	1.0000	1507	116	4	0.000	0.000
ЮЛС	4409	0.5567	7286	1.0000	1464	113	5	0.000	0.000
Ю	4411	0.5046	6893	1.0000	1407	109	4	0.000	0.000
ЮЛ	4410	0.5326	7521	1.0000	1467	116	8	0.000	0.000
ЮС	4411	0.5237	6191	1.0000	1451	110	4	0.000	0.000
ЮЛС	4410	0.5494	9640	1.0000	1504	118	6	0.000	1.000
ЮЛ	4411	0.5313	9516	1.0000	1484	116	4	0.000	0.250
Ю	4412	0.5137	6786	1.0000	1526	114	6	0.000	0.000
ЮС	4412	0.5136	6083	1.0000	1501	112	4	0.000	0.000
ЮЛС	4411	0.5492	8410	1.0000	1493	115	8	0.000	0.125
ЮЛ	4412	0.5076	8318	1.0000	1464	112	4	0.000	0.500
ЮЛС	4412	0.5689	8240	1.0000	1430	114	8	0.000	0.125
