Г1	3301	0.6198	12000	1.0000	1499	110	8
Г0	3301	0.5076	5891	1.0000	1507	105	4
Г3	3301	0.9403	11896	1.0000	1487	105	8
Г2	3301	0.7697	5848	1.0000	1492	97	4
Г0	3302	0.5143	5808	1.0000	1480	106	4
Г1	3302	0.5943	11744	1.0000	1468	108	8
Г2	3302	0.7998	5824	1.0000	1486	104	4
Г3	3302	0.9396	12144	1.0000	1517	105	8
Г1	3303	0.5281	11456	1.0000	1431	105	8
Г0	3303	0.5052	5919	1.0000	1508	102	4
Г2	3303	0.7596	5786	1.0000	1483	105	4
Г3	3303	0.9336	11856	1.0000	1482	108	8
Г0	3304	0.5120	5861	1.0000	1489	102	4
Г1	3304	0.6150	12144	1.0000	1517	103	8
Г2	3304	0.8086	7700	1.0000	1475	98	5
Г3	3304	0.9526	11856	1.0000	1482	110	8
Г0	3305	0.4936	5914	1.0000	1474	102	4
Г1	3305	0.5717	11624	1.0000	1453	106	8
Г2	3305	0.7988	5730	1.0000	1444	104	4
Г3	3305	0.9263	12000	1.0000	1499	107	8
Г0	3306	0.5031	5738	1.0000	1469	104	4
Г1	3306	0.5685	11904	1.0000	1487	105	8
Г2	3306	0.7973	5682	1.0000	1449	102	4
Г3	3306	0.9425	11744	1.0000	1467	100	8
Г1	3307	0.6221	12224	1.0000	1528	105	8
Г0	3307	0.5037	5710	1.0000	1467	104	4
Г1	3308	0.6330	11504	1.0000	1438	103	8
Г0	3308	0.4964	5705	1.0000	1459	102	4
Г2	3307	0.7965	5920	1.0000	1487	101	4
Г3	3307	0.9472	11808	1.0000	1475	100	8
Г1	3309	0.6207	11808	1.0000	1476	106	8
Г0	3309	0.4984	5877	1.0000	1511	98	4
Г2	3308	0.7812	5924	1.0000	1513	101	4
Г3	3308	0.9413	11992	1.0000	1498	109	8
Г0	3310	0.5034	5799	1.0000	1487	96	4
Г3	3309	0.9347	11728	1.0000	1465	101	8
Г1	3310	0.6048	11896	1.0000	1486	105	8
Г2	3309	0.7849	5875	1.0000	1503	104	4
Г1	3311	0.5652	12112	1.0000	1513	108	8
Г0	3311	0.4847	5841	1.0000	1480	99	4
Г2	3310	0.7837	5900	1.0000	1496	101	4
Г3	3310	0.9375	11656	1.0000	1456	110	8
Г1	3312	0.5924	11800	1.0000	1473	100	8
Г0	3312	0.4980	5769	1.0000	1483	95	4
Г2	3311	0.7882	5511	1.0000	1404	104	4
Г3	3311	0.9340	12216	1.0000	1527	100	8
Г3	3312	0.9466	11560	1.0000	1444	103	8
Г2	3312	0.7956	5875	1.0000	1497	103	4
