проверка3	5201	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9993	1.1122	1.0007	1.5359			0,1.147e+0	19.969949,1000.000000,238.745930,200.000000,20.638532,1000.000000,220.426560,200.000000	13.992316,600.000000,164.441825,120.000000,13.565712,600.000000,123.304325,120.000000	388.845873,2227.602419,366.520307,318.833109,1759.087620,299.098642,167.755790,704.849351,175.922974,210.443949,355.232653,213.728279
проверка3	5202	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9983	1.1080	0.9958	1.2174			0,5.718e+0	22.948554,1000.000000,264.394135,200.000000,24.639359,1000.000000,249.532284,200.000000	14.765000,600.000000,152.885247,120.000000,17.227150,600.000000,133.683214,120.000000	372.966085,2586.730927,376.104893,361.639590,959.471907,346.580950,206.815376,506.965779,191.241535,236.172761,802.306072,167.128779
проверка3	5203	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0016	1.2758	1.0000	0.9767			0,9.563e-1	20.765813,1000.000000,295.853013,200.000000,19.186575,1000.000000,266.579043,200.000000	11.842683,600.000000,137.672319,120.000000,11.871205,600.000000,140.089213,120.000000	491.480969,2620.414512,319.633201,386.612846,3232.346931,303.940008,232.616159,431.316094,183.247107,192.791863,1498.634761,111.155834
проверка3	5204	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0009	1.1384	0.9994	0.8794			0,1.337e+0	20.981964,1000.000000,242.665033,200.000000,20.107472,1000.000000,220.615653,200.000000	12.237902,600.000000,142.030209,120.000000,12.585337,600.000000,153.991612,120.000000	339.549633,2152.462835,328.608572,338.361084,2663.468097,318.314361,211.939117,1969.397909,207.438709,224.101314,1432.293745,192.194152
проверка3	5205	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9994	0.8098	1.0003	1.5335			0,9.716e-1	17.812747,1000.000000,263.901757,200.000000,18.457532,1000.000000,290.166882,200.000000	10.415358,600.000000,180.308054,120.000000,10.232183,600.000000,147.819578,120.000000	722.895214,2412.770821,457.102196,834.239673,2562.347310,389.233963,391.804372,1190.294899,257.561195,282.869321,738.968891,281.069586
проверка3	5206	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0006	1.2282	0.9367	0.7941			0,1.235e+0	19.579269,1000.000000,264.789607,200.000000,18.983804,1000.000000,233.477821,200.000000	11.562788,600.000000,141.106279,120.000000,49.181171,600.000000,161.716780,120.000000	335.828134,1741.642763,275.958064,329.182957,912.380919,242.548011,177.903298,742.593786,209.184419,277.666608,1631.337247,265.372448
проверка3	5207	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9996	1.6930	0.9992	1.0978			0,1.355e+0	21.208782,1000.000000,295.429068,200.000000,21.629214,1000.000000,221.570529,200.000000	11.948392,600.000000,155.019939,120.000000,12.450904,600.000000,146.587363,120.000000	345.131661,2272.345010,310.266430,234.815852,1013.054527,210.740141,142.639732,433.032817,136.604913,231.880083,733.962694,238.646934
проверка3	5208	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9990	0.7705	1.0014	0.8816			0,1.654e+0	32.768556,1000.000000,191.996496,200.000000,33.756267,1000.000000,240.197687,200.000000	15.671391,600.000000,149.577907,120.000000,14.832670,600.000000,160.426777,120.000000	279.717815,1008.679160,220.839289,350.127422,1185.048353,338.413288,215.808789,1042.157525,169.104517,341.518513,913.877339,302.830297
проверка3	5209	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0002	1.0513	0.9992	0.4979			0,2.021e+0	21.657389,1000.000000,260.137509,200.000000,21.447852,1000.000000,252.859333,200.000000	13.045090,600.000000,141.512853,120.000000,13.514611,600.000000,191.570552,120.000000	306.936354,537.831606,286.500095,406.732561,1025.052712,407.562879,213.593721,853.786342,122.837451,287.447465,372.738602,219.566263
проверка3	5210	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9998	1.0222	1.0008	1.0805			1,2.091e+6	18.933392,1000.000000,249.131648,200.000000,19.159017,1000.000000,245.738307,200.000000	11.121474,600.000000,161.230992,120.000000,10.671588,600.000000,154.791874,120.000000	257.143424,1280.748092,252.777921,266.409348,2745.791214,239.884131,172.710258,479.455728,184.110285,156.950067,928.325539,113.016346
проверка3	5211	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9992	1.2365	0.9914	-0.0604			0,1.716e+0	20.597798,1000.000000,283.300390,200.000000,21.366396,1000.000000,255.226209,200.000000	12.890753,600.000000,172.937473,120.000000,17.965913,600.000000,245.324819,120.000000	658.334579,1679.981132,261.836535,586.881177,1862.506726,317.280288,358.432058,611.474448,183.994231,453.534061,843.831943,198.426608
проверка3	5212	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9995	1.2088	0.9972	1.2890			0,2.047e+0	17.802332,1000.000000,268.178245,200.000000,18.284798,1000.000000,240.237183,200.000000	10.347070,600.000000,151.220618,120.000000,11.993428,600.000000,125.215983,120.000000	376.893199,2519.489885,330.395997,620.500779,2729.901264,529.000307,182.082364,204.574957,182.764684,399.064623,1619.356696,319.713489
