проверка3	5001	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0006	1.2884	0.9998	0.6611			0,1.339e+0	19.195786,1000.000000,246.846413,200.000000,18.603517,1000.000000,202.100486,200.000000	11.393467,600.000000,157.159513,120.000000,11.494657,600.000000,185.644425,120.000000
проверка3	5002	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9992	0.5349	0.9981	0.7301			0,1.881e+0	21.811440,1000.000000,212.149620,200.000000,22.615973,1000.000000,300.450720,200.000000	12.760886,600.000000,151.224828,120.000000,13.879427,600.000000,175.507691,120.000000
проверка3	5003	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9990	0.8073	0.9990	0.8963			0,1.341e+0	18.442867,1000.000000,251.185723,200.000000,19.466462,1000.000000,280.245102,200.000000	11.474332,600.000000,149.401500,120.000000,12.089020,600.000000,158.924207,120.000000
проверка3	5004	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0001	1.1758	0.9988	0.7100			0,1.816e+0	19.427380,1000.000000,242.187195,200.000000,19.340286,1000.000000,214.092171,200.000000	11.448568,600.000000,146.736643,120.000000,12.190756,600.000000,174.131850,120.000000
проверка3	5005	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0000	0.8520	0.9980	0.8061			1,3.076e+1	18.086235,1000.000000,236.020344,200.000000,18.071185,1000.000000,260.589116,200.000000	10.015849,600.000000,138.171951,120.000000,11.217597,600.000000,158.147953,120.000000
проверка3	5006	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9995	0.9402	0.9992	0.8988			0,1.473e+0	19.573983,1000.000000,204.661060,200.000000,20.104060,1000.000000,216.464279,200.000000	12.535930,600.000000,120.087076,120.000000,13.024517,600.000000,132.342851,120.000000
проверка3	5007	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9999	1.3043	1.0001	1.0439			0,1.203e+0	19.847794,1000.000000,257.509914,200.000000,19.995374,1000.000000,213.543531,200.000000	12.178652,600.000000,150.249196,120.000000,12.131935,600.000000,146.260371,120.000000
проверка3	5008	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0002	0.9436	0.9043	1.2598			0,1.260e+0	22.224414,1000.000000,259.325166,200.000000,22.013837,1000.000000,267.369806,200.000000	11.940172,600.000000,149.914318,120.000000,68.791759,600.000000,126.196119,120.000000
проверка3	5009	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0012	0.6985	0.9994	0.7961			0,7.118e+0	19.653541,1000.000000,245.209717,200.000000,18.450589,1000.000000,292.488766,200.000000	11.752153,600.000000,126.857020,120.000000,12.083640,600.000000,150.176834,120.000000
проверка3	5010	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0012	0.7552	0.9978	1.1413			0,2.702e+0	19.703501,1000.000000,206.823868,200.000000,18.481422,1000.000000,254.611685,200.000000	11.982896,600.000000,151.460957,120.000000,13.310864,600.000000,138.785227,120.000000
проверка3	5011	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	1.0001	1.1496	0.9982	1.0168			0,1.222e+0	19.403068,1000.000000,260.936255,200.000000,19.328654,1000.000000,239.827077,200.000000	11.277027,600.000000,165.832037,120.000000,12.327041,600.000000,164.568938,120.000000
проверка3	5012	NaN	NaN	NaN	NaN	NaN	NaN	NaN,NaN,NaN,NaN	NaN	NaN	NaN	0.9983	0.9892	0.9969	1.1471			0,1.875e+0	17.026827,1000.000000,230.586347,200.000000,18.701892,1000.000000,232.440971,200.000000	10.350593,600.000000,130.242917,120.000000,12.196084,600.000000,113.918919,120.000000
