порядок	3202	0.5101	5807	1.0000	1485	101	4
порядок	3201	0.5093	7013	1.0000	1452	96	4
нуль	3202	0.5043	6393	0.5501	1538	101	4
нуль	3201	0.5035	5877	0.5109	1509	102	4
нуль	3203	0.5114	5729	0.5446	1458	105	4
нуль	3204	0.4958	5900	0.5203	1503	104	4
порядок	3204	0.4948	5602	1.0000	1437	97	4
порядок	3203	0.4969	5848	1.0000	1499	107	4
порядок	3205	0.5035	5958	1.0000	1522	101	4
порядок	3206	0.4950	5776	1.0000	1466	96	4
нуль	3206	0.4858	5770	0.5256	1467	104	4
нуль	3205	0.5046	5816	0.5374	1496	96	4
порядок	3207	0.4880	5709	1.0000	1460	102	4
нуль	3207	0.4802	6073	0.5380	1461	97	4
нуль	3208	0.5033	5672	0.5379	1450	105	4
порядок	3208	0.4940	5797	1.0000	1463	102	4
порядок	3209	0.5178	6802	1.0000	1475	105	4
нуль	3209	0.5090	6089	0.5493	1502	108	4
порядок	3210	0.5017	5860	1.0000	1504	104	4
нуль	3210	0.4936	5906	0.5385	1495	99	4
порядок	3211	0.5026	5772	1.0000	1465	95	4
нуль	3211	0.4981	6131	0.5440	1546	100	4
порядок	3212	0.4997	5786	1.0000	1446	105	4
нуль	3212	0.5056	5791	0.5394	1483	94	4
