нуль	4502	8	0.997,0.997,0.997,0.997,0.999,0.999,0.999,0.999	0.985,0.988,0.985,0.990,0.985,0.985,0.985,0.990	0.5188	0.5355	1492
порядок	4501	8	0.972,0.967,0.966,0.968,0.975,0.974,0.975,0.975	0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999	0.7658	1.0000	1469
порядок	4502	4	0.854,0.947,0.889,0.851	0.998,0.998,0.998,0.998	0.7509	1.0000	1445
нуль	4501	7	0.990,0.990,0.992,0.992,0.992,0.988,0.992	0.995,0.995,0.995,0.995,0.995,0.997,0.995	0.5129	0.5333	1472
порядок	4503	3	0.976,0.978,0.978	0.998,0.998,0.998	0.7479	1.0000	1448
нуль	4503	8	0.971,0.912,0.906,0.978,0.990,0.832,0.933,0.901	0.999,0.999,0.999,0.950,0.999,0.997,0.967,0.999	0.5142	0.5209	1509
нуль	4504	4	0.970,0.999,0.951,0.942	0.934,0.989,0.928,0.897	0.5045	0.5354	1453
порядок	4504	4	0.999,0.999,0.980,0.999	0.995,0.960,0.998,0.986	0.7574	1.0000	1513
порядок	4505	7	0.998,0.998,0.998,0.998,0.998,0.998,0.998	0.961,0.955,0.957,0.957,0.944,0.957,0.935	0.7627	1.0000	1521
нуль	4505	4	0.990,0.985,0.990,0.985	0.997,0.997,0.997,0.997	0.5124	0.5157	1493
порядок	4506	7	0.999,0.995,0.999,0.999,0.995,0.999,0.999	0.994,0.998,0.996,0.991,0.998,0.996,0.996	0.7526	1.0000	1439
нуль	4506	7	0.887,0.868,0.911,0.909,0.913,0.885,0.900	0.998,0.998,0.996,0.998,0.996,0.998,0.998	0.5118	0.5131	1487
