L1	8001	0.4714	0.4511	0.0203	0.0826	0.0387
L0	8001	0.6157	0.5730	0.0428	0.0369	0.0803
N1	8001	0.6840	0.6190	0.0650	0.0357	0.0356
N0	8001	0.6840	0.6190	0.0650	0.0357	0.0356
L1	8002	0.4118	0.4115	0.0003	0.0659	0.0368
L0	8002	0.4828	0.5269	-0.0441	0.0367	0.0734
N1	8002	0.5274	0.5295	-0.0022	0.0371	0.0367
N0	8002	0.5274	0.5295	-0.0022	0.0371	0.0367
L1	8003	0.5359	0.4814	0.0545	0.1125	0.0373
L0	8003	0.4820	0.6682	-0.1862	0.0366	0.1090
N0	8003	0.6259	0.6134	0.0125	0.0357	0.0353
N1	8003	0.6259	0.6134	0.0125	0.0357	0.0353
L1	8004	0.5116	0.4960	0.0156	0.0920	0.0376
L0	8004	0.5704	0.6597	-0.0893	0.0365	0.1150
N1	8004	0.6274	0.5076	0.1199	0.0367	0.0377
N0	8004	0.6274	0.5076	0.1199	0.0367	0.0377
L1	8005	0.5779	0.6812	-0.1033	0.0544	0.0360
L0	8005	0.5733	0.6952	-0.1220	0.0384	0.0892
N1	8005	0.6773	0.5682	0.1090	0.0387	0.0376
N0	8005	0.6773	0.5682	0.1090	0.0387	0.0376
L1	8006	0.7419	0.4933	0.2486	0.1039	0.0358
L0	8006	0.5655	0.6238	-0.0582	0.0357	0.1174
N1	8006	0.5978	0.4803	0.1175	0.0367	0.0372
N0	8006	0.5978	0.4803	0.1175	0.0367	0.0372
L1	8007	0.6468	0.6517	-0.0050	0.1504	0.0363
L0	8007	0.5216	0.6219	-0.1003	0.0379	0.0556
N1	8007	0.5464	0.5638	-0.0174	0.0380	0.0380
N0	8007	0.5464	0.5638	-0.0174	0.0380	0.0380
L1	8008	0.5869	0.5741	0.0127	0.0769	0.0365
L0	8008	0.5072	0.5671	-0.0599	0.0361	0.1018
N1	8008	0.5296	0.5880	-0.0584	0.0364	0.0364
N0	8008	0.5296	0.5880	-0.0584	0.0364	0.0364
L1	8009	0.4880	0.4179	0.0702	0.0821	0.0363
L0	8009	0.5826	0.6939	-0.1114	0.0360	0.0867
N1	8009	0.5354	0.5141	0.0213	0.0372	0.0363
N0	8009	0.5354	0.5141	0.0213	0.0372	0.0363
L1	8010	0.6620	0.4932	0.1688	0.1260	0.0361
N1	8010	0.4654	0.5474	-0.0820	0.0372	0.0369
L0	8010	0.6563	0.5780	0.0782	0.0366	0.0435
N0	8010	0.4654	0.5474	-0.0820	0.0372	0.0369
L1	8011	0.6884	0.4821	0.2063	0.0667	0.0366
N1	8011	0.5134	0.7088	-0.1953	0.0431	0.0414
L0	8011	0.5458	0.7543	-0.2085	0.0358	0.1127
N0	8011	0.5134	0.7088	-0.1953	0.0431	0.0414
L1	8012	0.5596	0.5230	0.0366	0.1040	0.0400
N1	8012	0.4410	0.5138	-0.0728	0.0372	0.0366
L0	8012	0.5076	0.7301	-0.2225	0.0375	0.0867
N0	8012	0.4410	0.5138	-0.0728	0.0372	0.0366
