6801	0	8	1.00	8/8	0.25	1.00	0.38	0.50	0.25	287	1.00	2
6801	1	8	1.00	8/8	0.38	0.88	0.14	0.50	0.38	91	0.83	6
6802	0	8	1.00	8/8	1.00	0.25	0.50	0.25	0.63	63	0.08	26
6802	1	8	1.00	8/8	0.50	1.00	0.50	0.25	0.25	293	1.00	2
6803	1	8	1.00	8/8	0.63	1.00	0.00	0.38	0.75	51	0.65	46
6803	0	8	1.00	8/8	0.25	1.00	0.25	0.50	0.88	88	0.55	29
6804	0	8	1.00	8/8	0.25	1.00	0.00	0.75	0.50	58	0.29	7
6804	1	8	1.00	8/8	0.13	1.00	0.00	0.50	0.50	153	1.00	7
6805	0	8	1.00	8/8	0.25	1.00	0.00	0.13	0.38	42	0.90	10
6805	1	8	1.00	8/8	0.00	1.00	0.50	0.38	0.75	60	0.80	10
6806	1	8	1.00	8/8	1.00	1.00	0.00	0.63	0.13	192	1.00	1
6806	0	8	1.00	8/8	0.38	0.63	0.20	0.50	0.38	150	0.33	6
6807	1	8	1.00	8/8	0.25	0.75	0.00	0.75	0.25	132	1.00	2
6808	1	8	1.00	8/8	0.88	1.00	0.25	0.63	0.63	46	0.90	30
6807	0	8	1.00	8/8	0.50	1.00	0.25	0.75	0.63	130	0.33	6
6808	0	8	1.00	8/8	1.00	1.00	0.00	0.50	0.25	182	1.00	2
6810	0	8	1.00	8/8	0.13	1.00	0.00	0.38	0.00	NaN	NaN	0
6810	1	8	1.00	8/8	0.38	1.00	0.25	0.50	0.63	73	0.71	7
6809	0	8	1.00	8/8	0.63	1.00	0.00	0.63	0.38	31	0.45	11
6809	1	8	1.00	8/8	0.63	0.88	0.00	0.38	0.38	183	1.00	6
6811	1	8	1.00	8/8	0.13	1.00	0.00	0.38	0.50	46	0.67	6
6812	1	8	1.00	8/8	0.50	1.00	0.00	0.38	0.13	37	1.00	1
6811	0	8	1.00	8/8	0.88	1.00	0.00	0.13	0.38	123	1.00	3
6812	0	8	1.00	8/8	0.88	1.00	0.00	0.38	0.25	131	0.63	8
