L1	8201	1.0799	0.2042	0.8757	0.1778	0.0138
L0	8201	0.1529	0.8701	-0.7171	0.0128	0.2297
N1	8201	0.5121	0.5380	-0.0260	0.0135	0.0134
N0	8201	0.5121	0.5380	-0.0260	0.0135	0.0134
L0	8202	0.1666	1.0809	-0.9143	0.0142	0.2300
L1	8202	0.9350	0.1870	0.7480	0.1644	0.0123
N0	8202	0.4910	0.4905	0.0005	0.0127	0.0131
N1	8202	0.4910	0.4905	0.0005	0.0127	0.0131
L0	8203	0.2003	0.8052	-0.6049	0.0124	0.2141
L1	8203	1.0492	0.2246	0.8247	0.2287	0.0131
N1	8203	0.4397	0.4440	-0.0042	0.0174	0.0170
N0	8203	0.4397	0.4440	-0.0042	0.0174	0.0170
