2301	283	14	11,3,0,0,0,0	91	9	9,0,0,0,0,0	0,0,0	152
2302	242	27	4,1,0,0,22,0	96	3	3,0,0,0,0,0	13,2,7	115
2303	230	21	5,16,0,0,0,0	112	8	0,8,0,0,0,0	0,0,0	77
2304	252	6	5,0,0,0,1,0	129	3	3,0,0,0,0,0	0,1,0	87
2305	304	36	12,24,0,0,0,0	94	17	2,15,0,0,0,0	0,0,0	169
2306	307	18	8,10,0,0,0,0	106	10	2,8,0,0,0,0	0,0,0	186
2307	225	7	4,0,0,3,0,0	113	1	0,0,0,1,0,0	0,0,0	106
2308	241	0	0,0,0,0,0,0	113	0	0,0,0,0,0,0	0,0,0	89
2309	289	72	19,37,0,3,13,0	102	31	5,25,0,1,0,0	7,1,5	147
2310	212	15	5,10,0,0,0,0	92	14	4,10,0,0,0,0	0,0,0	106
2311	269	30	12,16,0,2,0,0	99	6	0,6,0,0,0,0	0,0,0	137
2312	265	21	8,5,0,7,1,0	88	3	3,0,0,0,0,0	0,0,1	154
