Ю	4201	0.5034	11881	1.0000	1487	112	8	0.000	0.000
Б	4201	0.5079	5688	1.0000	1461	100	4	0.000	0.000
Б	4202	0.4998	5692	1.0000	1437	96	4	0.000	0.000
Ю	4202	0.5069	7430	1.0000	1469	108	4	0.000	0.000
ЮЛ	4201	0.5489	7049	1.0000	1468	112	4	0.000	0.000
Б	4203	0.5171	5784	1.0000	1479	101	4	0.000	0.000
Ю	4203	0.5248	6946	1.0000	1559	120	8	0.000	0.000
ЮЛ	4202	0.5245	8466	1.0000	1517	112	4	0.000	0.000
Б	4204	0.4989	5667	1.0000	1453	104	4	0.000	0.000
ЮЛ	4203	0.5464	6493	1.0000	1463	116	4	0.000	0.000
Ю	4204	0.5207	6073	1.0000	1437	113	5	0.000	0.000
Б	4205	0.5086	8332	1.0000	1485	103	6	0.000	0.000
Ю	4205	0.5147	11726	1.0000	1469	116	8	0.000	0.000
ЮЛ	4204	0.5153	7926	1.0000	1465	113	8	0.000	0.250
Б	4206	0.5045	6028	1.0000	1533	103	4	0.000	0.000
ЮЛ	4205	0.5607	9208	1.0000	1515	108	4	0.000	0.750
Ю	4206	0.5206	7657	1.0000	1472	114	8	0.000	0.000
Б	4207	0.5024	6027	1.0000	1536	101	4	0.000	0.000
ЮЛ	4206	0.5674	7488	1.0000	1471	112	4	0.000	0.000
Ю	4207	0.5101	6161	1.0000	1474	111	4	0.000	0.000
Б	4208	0.4975	5890	1.0000	1474	105	4	0.000	0.000
Ю	4208	0.5095	7032	1.0000	1474	115	7	0.000	0.000
ЮЛ	4207	0.5237	7646	1.0000	1435	114	8	0.000	0.125
Б	4209	0.4993	6045	1.0000	1547	100	4	0.000	0.000
ЮЛ	4208	0.5238	8003	1.0000	1490	116	8	0.000	0.375
Ю	4209	0.4903	12181	1.0000	1525	116	8	0.000	0.000
ЮЛ	4209	0.5486	6615	1.0000	1477	110	4	0.000	0.000
Ю	4210	0.4884	12073	1.0000	1510	112	8	0.000	0.000
Б	4210	0.4989	5909	1.0000	1514	99	4	0.000	0.000
ЮЛ	4210	0.5221	6684	1.0000	1461	117	5	0.000	0.200
Ю	4211	0.4941	11896	1.0000	1491	112	8	0.000	0.000
Б	4211	0.5101	5811	1.0000	1491	100	4	0.000	0.000
Ю	4212	0.5123	6197	1.0000	1500	109	4	0.000	0.000
Б	4212	0.4891	5833	1.0000	1478	104	4	0.000	0.000
ЮЛ	4211	0.5143	8083	1.0000	1470	111	5	0.000	0.000
ЮЛ	4212	0.5043	7543	1.0000	1471	109	5	0.000	0.200
