HQ=0.005 n10	7602	0.7265	0.6218	0.1047	0.4588	5	0.479	NaN	0	0.7265	191505
HQ=0.005 n10	7603	0.7547	0.6260	0.1038	0.5143	7	0.468	NaN	0	0.7547	187021
HQ=0.005 n10	7601	0.7531	0.6439	0.1040	0.5362	8	0.462	NaN	0	0.7531	184718
HQ=0.005 n10	7604	0.6577	0.4527	0.1224	0.5292	8	0.494	NaN	0	0.6577	197427
HQ=0.005 n10	7607	0.7255	0.5121	0.1089	0.5054	8	0.667	NaN	0	0.7255	266982
HQ=0.005 n10	7606	0.7485	0.6399	0.1051	0.5209	8	0.489	NaN	0	0.7485	195710
HQ=0.005 n10	7605	0.7341	0.4501	0.1073	0.5053	8	0.715	NaN	0	0.7341	286057
HQ=0.005 n10	7608	0.7353	0.5980	0.1041	0.5235	8	0.504	NaN	0	0.7353	201454
HQ=0.005 n10	7611	0.7112	0.5451	0.1053	0.4946	8	0.530	NaN	0	0.7112	211978
HQ=0.005 n10	7609	0.7264	0.5921	0.1067	0.4708	8	0.541	NaN	0	0.7264	216328
HQ=0.005 n10	7610	0.7397	0.6431	0.1047	0.4524	8	0.451	NaN	0	0.7397	180479
HQ=0.005 n10	7612	0.7359	0.5665	0.1077	0.5141	8	0.561	NaN	0	0.7359	224320
HQ=0.005 n30	7601	0.6760	0.6026	0.0451	0.5209	8	0.405	NaN	0	0.6760	162020
HQ=0.005 n30	7602	0.7056	0.5580	0.0359	0.4938	8	0.593	NaN	0	0.7056	237053
HQ=0.005 n30	7604	0.6598	0.4878	0.0376	0.4869	8	0.561	NaN	0	0.6598	224517
HQ=0.005 n30	7603	0.7184	0.6521	0.0383	0.5554	8	0.452	NaN	0	0.7184	180951
HQ=0.005 n30	7605	0.7259	0.6630	0.0354	0.5329	8	0.472	NaN	0	0.7259	188778
HQ=0.005 n30	7606	0.7313	0.5998	0.0360	0.5164	8	0.520	NaN	0	0.7313	208161
HQ=0.005 n30	7607	0.7207	0.6288	0.0376	0.5540	8	0.465	NaN	0	0.7207	186110
HQ=0.005 n30	7608	0.7325	0.6314	0.0355	0.4757	8	0.456	NaN	0	0.7326	182474
HQ=0.005 n30	7609	0.7074	0.5905	0.0393	0.4412	8	0.420	NaN	0	0.7074	167806
HQ=0.005 n30	7610	0.6933	0.5989	0.0360	0.4929	8	0.441	NaN	0	0.6933	176323
HQ=0.005 n30	7611	0.6904	0.5066	0.0386	0.4692	8	0.598	NaN	0	0.6904	239163
HQ=0.005 n30	7612	0.7012	0.5635	0.0445	0.5630	8	0.411	NaN	0	0.7012	164560
HQ=0.005 n100	7601	0.6248	0.5204	0.0115	0.4443	8	0.496	NaN	0	0.6248	198560
HQ=0.005 n100	7603	0.5615	0.4869	0.0142	0.4997	8	0.389	NaN	0	0.5615	155433
HQ=0.005 n100	7602	0.6412	0.5654	0.0135	0.4907	8	0.365	NaN	0	0.6413	145817
HQ=0.005 n100	7604	0.6943	0.6088	0.0120	0.5847	8	0.445	NaN	0	0.6944	178098
HQ=0.005 n100	7605	0.6439	0.6191	0.0127	0.5609	8	0.404	NaN	0	0.6439	161466
HQ=0.005 n100	7607	0.6103	0.5136	0.0129	0.4476	4	0.353	NaN	0	0.6103	141074
HQ=0.005 n100	7606	0.5707	0.4977	0.0138	0.5128	8	0.391	NaN	0	0.5707	156459
HQ=0.005 n100	7608	0.5897	0.4754	0.0120	0.4965	8	0.452	NaN	0	0.5897	180784
HQ=0.005 n100	7609	0.6631	0.6214	0.0121	0.4838	8	0.418	NaN	0	0.6631	167384
HQ=0.005 n100	7611	0.6439	0.5615	0.0119	0.4975	8	0.466	NaN	0	0.6439	186424
HQ=0.005 n100	7612	0.6311	0.5324	0.0118	0.4761	8	0.525	NaN	0	0.6311	209922
HQ=0.005 n100	7610	0.5957	0.4688	0.0113	0.4872	8	0.567	NaN	0	0.5957	226846
HQ=0.005 K2	7601	0.7354	0.6300	0.0705	0.4887	8	0.483	0.5147	2001	0.7377	191048
HQ=0.005 K2	7602	0.7045	0.5765	0.0860	0.4620	8	0.402	0.4764	1994	0.7074	158892
HQ=0.005 K2	7603	0.7163	0.5519	0.0760	0.4623	8	0.611	0.5280	2021	0.7178	242392
HQ=0.005 K2	7604	0.7394	0.5999	0.0676	0.4759	8	0.534	0.5520	2482	0.7416	211265
HQ=0.005 K2	7605	0.7245	0.6387	0.0770	0.4914	8	0.437	0.4908	2113	0.7273	172749
HQ=0.005 K2	7606	0.7531	0.6134	0.0632	0.5123	8	0.539	0.5202	2080	0.7553	213699
HQ=0.005 K2	7607	0.7378	0.6240	0.0698	0.4362	8	0.464	0.5507	2444	0.7403	183252
HQ=0.005 K2	7608	0.6837	0.5057	0.0912	0.4562	8	0.484	0.4908	2007	0.6858	191763
HQ=0.005 K2	7609	0.7309	0.5081	0.0722	0.4956	8	0.607	0.4635	1575	0.7327	241292
HQ=0.005 K2	7610	0.7393	0.6013	0.0708	0.5072	8	0.484	0.4714	1888	0.7420	191732
HQ=0.005 K2	7611	0.7308	0.5826	0.0709	0.5267	8	0.594	0.5156	1794	0.7324	236002
HQ=0.005 K2	7612	0.7532	0.6450	0.0655	0.5419	8	0.468	0.4993	2071	0.7560	184969
HQ=0.005 LL	7601	0.6685	0.5109	0.0926	0.5364	8	0.413	NaN	0	0.6685	165278
HQ=0.005 LL	7603	0.7117	0.5379	0.0812	0.4778	8	0.604	NaN	0	0.7117	241597
HQ=0.005 LL	7602	0.7199	0.4516	0.0620	0.4733	8	0.723	NaN	0	0.7199	289082
HQ=0.005 LL	7604	0.7268	0.5961	0.0819	0.5273	8	0.484	NaN	0	0.7268	193585
HQ=0.005 LL	7605	0.7352	0.6541	0.0728	0.5410	8	0.481	NaN	0	0.7352	192577
HQ=0.005 LL	7607	0.7150	0.6098	0.0558	0.4897	8	0.538	NaN	0	0.7150	215390
HQ=0.005 LL	7606	0.7454	0.5980	0.0772	0.5642	8	0.540	NaN	0	0.7454	216179
HQ=0.005 LL	7608	0.7046	0.6065	0.1182	0.4881	8	0.436	NaN	0	0.7046	174539
HQ=0.005 LL	7609	0.7228	0.6033	0.1050	0.4998	8	0.463	NaN	0	0.7228	185196
HQ=0.005 LL	7611	0.7572	0.6597	0.0699	0.5235	8	0.466	NaN	0	0.7572	186347
HQ=0.005 LL	7610	0.7125	0.6290	0.0659	0.4316	8	0.448	NaN	0	0.7124	179154
HQ=0.005 LL	7612	0.7368	0.6540	0.0612	0.5148	8	0.446	NaN	0	0.7368	178305
HQ=0.05 n10	7601	0.6025	0.4813	0.1124	0.5171	8	0.587	NaN	0	0.6025	234673
HQ=0.05 n10	7602	0.5524	0.4433	0.1058	0.5088	8	0.484	NaN	0	0.5524	193411
HQ=0.05 n10	7603	0.5468	0.3989	0.1181	0.4862	8	0.534	NaN	0	0.5468	213568
HQ=0.05 n10	7604	0.5524	0.4188	0.1097	0.5121	8	0.505	NaN	0	0.5524	201881
HQ=0.05 n10	7605	0.5485	0.4193	0.1121	0.5024	8	0.514	NaN	0	0.5485	205654
HQ=0.05 n10	7606	0.5568	0.5503	0.1068	0.5014	8	0.381	NaN	0	0.5568	152242
HQ=0.05 n10	7607	0.5516	0.4837	0.1068	0.5160	8	0.414	NaN	0	0.5516	165677
HQ=0.05 n10	7608	0.5474	0.4165	0.1176	0.5046	8	0.505	NaN	0	0.5474	201810
HQ=0.05 n10	7609	0.5282	0.5142	0.1046	0.4958	8	0.383	NaN	0	0.5282	153120
HQ=0.05 n10	7610	0.5502	0.5199	0.1178	0.4976	8	0.451	NaN	0	0.5502	180209
HQ=0.05 n10	7611	0.5639	0.5476	0.1084	0.4963	8	0.367	NaN	0	0.5639	146853
HQ=0.05 n10	7612	0.5499	0.5125	0.1106	0.4976	8	0.363	NaN	0	0.5499	145080
HQ=0.05 n30	7601	0.4857	0.5355	0.0379	0.4898	8	0.435	NaN	0	0.4857	174089
HQ=0.05 n30	7602	0.4835	0.4968	0.0385	0.4926	8	0.465	NaN	0	0.4835	185819
HQ=0.05 n30	7603	0.4790	0.5230	0.0389	0.4775	8	0.357	NaN	0	0.4790	142789
HQ=0.05 n30	7604	0.4972	0.5467	0.0410	0.5040	8	0.442	NaN	0	0.4972	176705
HQ=0.05 n30	7605	0.4986	0.5392	0.0422	0.5004	8	0.349	NaN	0	0.4986	139675
HQ=0.05 n30	7606	0.5044	0.5862	0.0377	0.5033	8	0.403	NaN	0	0.5044	161028
HQ=0.05 n30	7607	0.4742	0.4973	0.0449	0.5054	8	0.353	NaN	0	0.4742	141054
HQ=0.05 n30	7608	0.4815	0.5101	0.0378	0.4886	8	0.429	NaN	0	0.4815	171630
HQ=0.05 n30	7609	0.4956	0.4897	0.0366	0.4991	8	0.530	NaN	0	0.4956	211805
HQ=0.05 n30	7611	0.5025	0.5294	0.0440	0.5115	8	0.351	NaN	0	0.5025	140243
