HQ=0.0005 n=1	7502	0.8473	0.2856	0.9945	0.6444	8	0.502	NaN	0	0.8473	200622
HQ=0.0005 n=1	7503	0.8572	0.4928	0.9940	0.5956	8	0.383	NaN	0	0.8572	153332
HQ=0.0005 n=1	7504	0.7948	0.4362	0.9971	0.4811	8	0.371	NaN	0	0.7948	148324
HQ=0.0005 n=1	7501	0.8166	0.3835	0.9950	0.5358	8	0.422	NaN	0	0.8166	168887
HQ=0.0005 n=1	7505	0.7347	0.4277	0.9956	0.3235	7	0.324	NaN	0	0.7348	129429
HQ=0.0005 n=1	7506	0.8138	0.4216	0.9937	0.4393	8	0.384	NaN	0	0.8138	153599
HQ=0.0005 n=3	7502	0.7065	0.4712	0.3619	0.4033	8	0.396	NaN	0	0.7065	158272
HQ=0.0005 n=3	7501	0.7436	0.5415	0.3452	0.4291	8	0.452	NaN	0	0.7436	180661
HQ=0.0005 n=3	7504	0.7788	0.3991	0.3485	0.4715	8	0.577	NaN	0	0.7789	230901
HQ=0.0005 n=3	7503	0.8491	0.5851	0.3458	0.6094	8	0.477	NaN	0	0.8491	190625
HQ=0.0005 n=3	7506	0.8125	0.4890	0.3541	0.7291	8	0.501	NaN	0	0.8126	200475
HQ=0.0005 n=3	7505	0.8394	0.5271	0.3452	0.6198	8	0.525	NaN	0	0.8394	210050
HQ=0.0005 n=10	7501	0.7781	0.5272	0.1119	0.5095	8	0.556	NaN	0	0.7781	222345
HQ=0.0005 n=10	7502	0.7846	0.4338	0.1100	0.5408	8	0.691	NaN	0	0.7846	276233
HQ=0.0005 n=10	7503	0.7625	0.5852	0.1078	0.4347	8	0.453	NaN	0	0.7625	181050
HQ=0.0005 n=10	7504	0.7947	0.5967	0.1044	0.4497	8	0.512	NaN	0	0.7947	204846
HQ=0.0005 n=10	7506	0.7798	0.4884	0.1081	0.3961	8	0.642	NaN	0	0.7798	256955
HQ=0.0005 n=10	7505	0.8269	0.5150	0.1077	0.5589	8	0.707	NaN	0	0.8269	282829
HQ=0.0005 n=30	7501	0.8622	0.6062	0.0370	0.7751	8	0.670	NaN	0	0.8622	267881
HQ=0.0005 n=30	7502	0.8657	0.4610	0.0365	0.7588	8	0.792	NaN	0	0.8657	316655
HQ=0.0005 n=30	7503	0.8167	0.6285	0.0368	0.6443	8	0.514	NaN	0	0.8167	205456
HQ=0.0005 n=30	7504	0.7617	0.5956	0.0360	0.4247	8	0.492	NaN	0	0.7617	196910
HQ=0.0005 n=30	7505	0.8185	0.5924	0.0371	0.5554	8	0.573	NaN	0	0.8185	229328
HQ=0.0005 n=30	7506	0.8192	0.6322	0.0357	0.5930	8	0.629	NaN	0	0.8192	251462
HQ=0.0005 n=100	7502	0.7635	0.4409	0.0117	0.4622	8	0.691	NaN	0	0.7635	276499
HQ=0.0005 n=100	7501	0.7700	0.5709	0.0114	0.4601	8	0.666	NaN	0	0.7700	266204
HQ=0.0005 n=100	7503	0.7860	0.5706	0.0120	0.5196	8	0.600	NaN	0	0.7860	239940
HQ=0.0005 n=100	7504	0.7749	0.5846	0.0113	0.3396	8	0.598	NaN	0	0.7749	239308
HQ=0.0005 n=100	7505	0.7201	0.5097	0.0112	0.3600	8	0.617	NaN	0	0.7201	246622
HQ=0.0005 n=100	7506	0.7464	0.6072	0.0119	0.3969	8	0.435	NaN	0	0.7463	173845
HQ=0.005 n=1	7502	0.7277	0.4460	0.9971	0.4783	8	0.314	NaN	0	0.7277	125448
HQ=0.005 n=1	7501	0.7247	0.3152	0.9967	0.5132	8	0.409	NaN	0	0.7247	163479
HQ=0.005 n=1	7504	0.7422	0.4666	0.9966	0.4387	8	0.326	NaN	0	0.7422	130539
HQ=0.005 n=1	7503	0.7142	0.4005	0.9945	0.4794	8	0.310	NaN	0	0.7142	124164
HQ=0.005 n=1	7506	0.7802	0.4118	0.9964	0.5322	8	0.373	NaN	0	0.7802	149292
HQ=0.005 n=1	7505	0.7210	0.3689	0.9955	0.5008	8	0.332	NaN	0	0.7210	132790
HQ=0.005 n=3	7502	0.7506	0.3336	0.3463	0.4477	8	0.643	NaN	0	0.7506	257270
HQ=0.005 n=3	7501	0.6807	0.4084	0.3612	0.5368	8	0.431	NaN	0	0.6807	172569
HQ=0.005 n=3	7503	0.7584	0.5760	0.3440	0.5273	8	0.433	NaN	0	0.7584	173374
HQ=0.005 n=3	7504	0.7429	0.5728	0.3466	0.4586	8	0.406	NaN	0	0.7429	162546
HQ=0.005 n=3	7505	0.7227	0.5687	0.3499	0.4332	8	0.411	NaN	0	0.7227	164341
HQ=0.005 n=3	7506	0.7461	0.4726	0.3461	0.5012	8	0.553	NaN	0	0.7461	221143
HQ=0.005 n=10	7501	0.7211	0.5013	0.1101	0.4846	8	0.614	NaN	0	0.7211	245603
