N1	3001	1.0009	1.1042	0.2632	0.1939	0.3086	0.1371	0.0851	0.9992	1.7680	0.2333	0.2617	0.4571	0.1524	0.0560
N0	3001	0.7773	0.7028	0.5048	0.2106	0.6625	0.8991	0.2627	0.8282	1.3038	0.5098	0.1974	0.6813	0.8516	0.2353
N0	3002	0.9576	1.1054	0.5147	0.1606	0.5960	0.8080	0.2585	0.8528	1.4031	0.5091	0.2303	0.7545	0.8802	0.3023
N1	3002	0.9996	1.6258	0.2269	0.1676	0.1285	0.1229	0.0680	0.9816	0.2990	0.1950	0.2359	0.1529	0.0353	0.1284
N0	3003	0.7611	0.8494	0.5000	0.2281	0.7664	0.9252	0.2516	0.8931	0.8490	0.4081	0.1550	0.5496	0.8550	0.2232
N1	3003	1.0012	1.0806	0.1783	0.1864	0.2308	0.1923	0.0322	0.9874	1.1589	0.1585	0.1573	0.2462	0.2000	0.0818
N0	3004	0.8904	1.4037	0.4100	0.1437	0.6245	0.8775	0.2035	0.8256	0.6763	0.3211	0.1630	0.5938	0.7500	0.1918
N1	3004	0.9994	1.2485	0.1485	0.1896	0.1980	0.0792	0.0385	1.0007	2.0473	0.1957	0.1964	0.0976	0.3049	0.0640
N0	3005	0.7966	1.6244	0.4677	0.1812	0.7199	0.8617	0.2328	0.8736	1.0891	0.4829	0.1670	0.6850	0.8976	0.2278
N1	3005	0.9994	0.7341	0.1601	0.1709	0.2821	0.1795	0.0217	1.0015	2.0373	0.1241	0.1636	0.3265	0.2449	0.0439
N0	3006	0.6791	1.2530	0.5952	0.1762	0.7000	0.9325	0.2935	0.8265	0.1344	0.5000	0.2357	0.7467	0.8933	0.2197
N1	3006	1.0000	1.5990	0.2008	0.2005	0.2397	0.1164	0.1042	0.9997	0.5100	0.1555	0.1679	0.3194	0.1944	0.0605
N0	3007	0.6668	0.6983	0.5423	0.1642	0.7204	0.8737	0.3382	0.8021	0.6425	0.5052	0.1926	0.7671	0.8630	0.1721
N1	3007	1.0004	1.3238	0.1703	0.1488	0.3106	0.1212	0.0762	0.9993	0.7001	0.1924	0.1358	0.3333	0.1605	0.0818
N0	3008	0.7588	0.9024	0.6016	0.1508	0.7108	0.8892	0.3362	0.7865	0.9483	0.4463	0.1554	0.7368	0.8872	0.1538
N1	3008	1.0002	0.9232	0.1499	0.1442	0.2692	0.0962	0.0290	1.0000	0.9218	0.1821	0.1828	0.3509	0.1754	0.0903
N0	3009	0.7852	1.2173	0.5171	0.1583	0.6687	0.8494	0.2359	0.8855	0.6181	0.3755	0.1355	0.6346	0.8077	0.2284
N1	3009	0.9771	1.5885	0.1755	0.1409	0.1008	0.0000	0.0537	1.0002	1.1959	0.0927	0.1536	0.4138	0.1034	0.0355
N1	3010	0.9989	0.3306	0.2497	0.1379	0.0769	0.1923	0.1976	0.9972	0.8279	0.1763	0.1739	0.3412	0.2118	0.0775
N0	3010	0.8242	0.5760	0.5262	0.1720	0.6792	0.8464	0.3098	0.7630	0.9506	0.4224	0.2000	0.6719	0.8125	0.2600
N0	3011	0.7259	1.0087	0.5427	0.1703	0.7247	0.8511	0.2408	0.6953	1.3923	0.4744	0.1888	0.6547	0.8489	0.2153
N1	3011	1.0005	1.5868	0.1882	0.1383	0.2313	0.1361	0.0235	0.9995	0.7587	0.2035	0.1462	0.3723	0.1064	0.1256
N0	3012	0.7626	0.7368	0.5917	0.1705	0.7204	0.9219	0.2745	0.6677	0.7061	0.5199	0.1661	0.7325	0.9299	0.3198
N1	3012	0.9999	0.8238	0.1424	0.1892	0.1429	0.1939	0.0373	0.9982	1.0113	0.1200	0.1416	0.6444	0.2444	0.0745
