порядок	3501	0.5085	5784	1.0000	1482	104	4	0.000	0.000
нуль	3501	0.4929	5656	0.5370	1447	99	4	0.000	0.000
порядок	3502	0.5096	5726	1.0000	1458	103	4	0.000	0.000
нуль	3502	0.4959	5801	0.5347	1455	102	4	0.000	0.000
порядок	3503	0.5110	5775	1.0000	1457	106	4	0.000	0.000
порядок	3504	0.4946	5930	1.0000	1488	102	4	0.000	0.000
нуль	3503	0.5109	5600	0.5544	1434	105	4	0.000	0.000
нуль	3504	0.4928	5793	0.5431	1484	105	4	0.000	0.000
порядок	3505	0.4996	6772	1.0000	1514	106	5	0.000	0.000
порядок	3506	0.4971	5890	1.0000	1495	104	4	0.000	0.000
нуль	3505	0.4915	5967	0.5437	1486	102	4	0.000	0.000
нуль	3506	0.5036	5735	0.5577	1465	104	4	0.000	0.000
порядок	3507	0.4980	5636	1.0000	1440	104	4	0.000	0.000
нуль	3507	0.4892	6020	0.5351	1538	106	4	0.000	0.000
порядок	3508	0.5019	5997	1.0000	1487	106	4	0.000	0.000
нуль	3508	0.5019	5678	0.5275	1452	103	4	0.000	0.000
порядок	3509	0.5046	5848	1.0000	1460	101	4	0.000	0.000
нуль	3509	0.5058	5654	0.5273	1447	103	4	0.000	0.000
порядок	3510	0.4989	5675	1.0000	1451	105	5	0.000	0.000
нуль	3510	0.5015	5894	0.5171	1493	104	4	0.000	0.000
порядок	3511	0.4991	5837	1.0000	1489	105	4	0.000	0.000
нуль	3511	0.5053	5620	0.5324	1433	105	4	0.000	0.000
порядок	3512	0.5157	5874	1.0000	1479	105	4	0.000	0.000
нуль	3512	0.5095	5876	0.5327	1500	100	4	0.000	0.000
