2203	248	129	10,0,10,1,108,0	99	15	6,0,0,0,9,0	46,28,34	122
2201	272	141	12,9,0,0,120,0	129	20	9,2,0,0,9,0	66,33,21	134
2204	239	139	8,11,0,3,117,0	78	19	2,3,0,0,14,0	43,49,25	134
2202	257	118	4,6,0,3,105,0	119	8	0,0,0,0,8,0	47,21,37	122
2205	256	143	7,0,3,0,133,0	81	6	2,0,0,0,4,0	71,31,31	140
2207	201	84	2,0,3,0,79,0	96	9	0,0,0,0,9,0	34,23,22	84
2206	271	143	14,7,0,0,122,0	96	13	6,0,0,0,7,0	52,29,41	142
2208	274	143	6,0,0,1,136,0	71	13	2,0,0,1,10,0	89,22,25	162
2209	272	172	4,0,1,0,167,0	72	12	4,0,0,0,8,0	67,47,53	174
2211	265	141	4,0,1,0,136,0	98	13	3,0,0,0,10,0	49,52,35	140
2210	256	125	5,7,0,0,113,0	102	13	4,7,0,0,2,0	38,34,41	116
2212	281	115	9,2,0,0,104,0	110	5	2,0,0,0,3,0	36,27,41	118
