4806	10	0	0.98796	0.98796	0.98796	1.688e+0
4806	10	1	0.97577	0.97577	0.97577	6.735e-1
4806	10	2	0.98022	0.98022	0.98022	1.514e+0
4806	10	3	0.99000	0.99000	0.98012	2.421e+0
4806	10	4	0.99000	0.99000	0.99000	2.864e+0
4806	10	5	0.99000	0.99000	0.99000	1.074e+0
4806	10	6	0.99000	0.99000	0.99000	1.423e+0
4806	10	7	0.98482	0.98482	0.98482	1.111e+0
4806	10	8	0.98525	0.98525	0.98525	1.242e+0
4806	10	9	0.98916	0.98916	0.98916	2.778e+0
4806	10	10	0.98278	0.98278	0.98278	9.380e-1
4806	10	11	0.98494	0.98204	0.98204	7.879e-1
4806	10	12	0.98652	0.98652	0.98652	3.185e+0
4806	10	13	0.99000	0.99000	0.99000	9.688e-1
4806	10	14	0.98883	0.98883	0.98883	8.641e-1
4806	10	15	0.97450	0.97450	0.97450	5.339e-1
4806	10	16	0.97343	0.97343	0.97343	2.043e+0
4806	10	17	0.98789	0.98783	0.98783	1.776e+0
4806	10	18	0.97893	0.97893	0.97893	7.504e-1
4806	10	19	0.98506	0.98518	0.98518	5.316e-1
4806	10	20	0.99000	0.99000	0.99000	3.036e+0
4806	10	21	0.99000	0.99000	0.99000	1.445e+0
4806	10	22	0.99000	0.99000	0.99000	1.798e+0
4806	10	23	0.98864	0.98864	0.98864	9.046e-1
4806	10	24	0.99000	0.99000	0.99000	2.030e+0
4806	10	25	0.99000	0.99000	0.99000	1.475e+0
4806	10	26	0.99000	0.99000	0.99000	1.495e+0
4806	10	27	0.99000	0.99000	0.99000	1.650e+0
4806	10	28	0.99000	0.99000	0.99000	9.862e-1
4806	10	29	0.99000	0.99000	0.99000	3.363e+0
4806	10	30	0.99000	0.99000	0.99000	2.847e+0
4806	10	31	0.99000	0.99000	0.99000	1.735e+0
4806	10	32	0.98672	0.98672	0.98672	1.035e+0
4806	10	33	0.98812	0.98812	0.98812	1.543e+0
4806	10	34	0.98361	0.98361	0.98361	1.160e+0
4806	10	35	0.97656	0.97656	0.97656	1.138e+0
4806	10	36	0.98275	0.98275	0.98275	2.083e+0
4806	10	37	0.97251	0.97251	0.97251	1.709e+0
4806	10	38	0.97438	0.97301	0.95994	2.154e+0
4806	10	39	0.95978	0.95978	0.95978	1.352e+0
4806	10	40	0.95921	0.95921	0.95921	9.912e-1
4806	10	41	0.94905	0.94905	0.94905	7.327e-1
4806	10	42	0.95075	0.95075	0.95075	2.633e+0
4806	10	43	0.96608	0.96571	0.96571	7.488e-1
4806	10	44	0.96005	0.96005	0.96005	2.168e+0
