ЮЛС140	5701	0.5266	8164	1.0000	1535	112	4	0.250	0.750	505
ЮЛС140П	5701	0.9333	12195	1.0000	1524	120	8	1.000	1.000	3960
ЮЛСП	5701	0.9282	11601	1.0000	1450	120	8	1.000	1.000	4465
нуль	5701	0.4991	11090	0.5357	1486	113	7	0.000	0.429	624
ЮЛС140	5702	0.5168	10857	1.0000	1484	118	8	0.000	0.500	1121
нуль	5702	0.5002	10476	0.5411	1460	120	8	0.000	0.000	568
ЮЛС140П	5702	0.9460	11602	1.0000	1451	120	8	1.000	1.000	2285
ЮЛСП	5702	0.9100	11927	1.0000	1493	120	8	0.000	1.000	2890
ЮЛС140	5703	0.5430	8711	1.0000	1459	119	7	0.286	0.429	567
нуль	5703	0.4986	11285	0.5351	1469	118	8	0.000	0.500	430
ЮЛС140П	5703	0.9581	11945	1.0000	1493	120	8	1.000	1.000	1633
ЮЛСП	5703	0.9292	11522	1.0000	1441	120	8	1.000	1.000	1118
ЮЛС140	5704	0.5627	8395	1.0000	1481	112	5	0.000	0.200	451
ЮЛС140П	5704	0.9355	11915	1.0000	1491	120	8	1.000	1.000	3012
нуль	5704	0.4906	10672	0.5391	1458	114	8	0.000	0.125	586
ЮЛСП	5704	0.9716	11956	1.0000	1493	120	8	1.000	1.000	2957
ЮЛС140	5705	0.6020	8256	1.0000	1490	116	4	0.000	0.250	842
ЮЛСП	5705	0.9378	11842	1.0000	1484	120	8	1.000	1.000	3844
ЮЛС140П	5705	0.9403	11751	1.0000	1468	119	8	1.000	1.000	1937
нуль	5705	0.5014	11197	0.5501	1478	118	8	0.000	0.125	787
ЮЛС140	5706	0.5357	8637	1.0000	1489	120	8	0.125	0.750	690
ЮЛС140П	5706	0.9595	12007	1.0000	1502	120	8	1.000	1.000	2669
нуль	5706	0.5010	11474	0.5433	1502	108	4	0.000	0.000	644
ЮЛСП	5706	0.9399	11796	1.0000	1475	120	8	1.000	1.000	5180
ЮЛС140	5707	0.5683	9625	1.0000	1484	117	6	0.000	1.000	408
нуль	5707	0.4948	11161	0.5456	1468	120	8	0.000	0.000	727
ЮЛС140П	5707	0.9656	11962	1.0000	1495	117	8	1.000	1.000	2537
ЮЛСП	5707	0.9360	12127	1.0000	1517	120	8	1.000	1.000	3373
ЮЛС140	5708	0.5245	9263	1.0000	1483	120	8	0.250	0.250	943
нуль	5708	0.5000	10635	0.5322	1522	115	7	0.000	0.143	634
ЮЛС140П	5708	0.8903	12005	1.0000	1501	120	8	1.000	1.000	2861
ЮЛСП	5708	0.9294	11895	1.0000	1487	120	8	1.000	1.000	1162
ЮЛС140	5709	0.5709	8455	1.0000	1512	116	7	0.000	0.571	808
нуль	5709	0.5004	11265	0.5374	1470	116	8	0.000	0.000	407
ЮЛС140П	5709	0.9272	12037	1.0000	1505	120	8	1.000	1.000	1589
ЮЛСП	5709	0.9305	11719	1.0000	1465	119	8	1.000	1.000	1149
ЮЛС140	5710	0.5519	7443	1.0000	1514	112	4	0.000	0.750	775
ЮЛС140П	5710	0.9602	12099	1.0000	1512	120	8	1.000	1.000	2096
нуль	5710	0.5005	10941	0.5456	1492	117	8	0.000	0.000	562
ЮЛСП	5710	0.9312	11841	1.0000	1481	120	8	1.000	1.000	1948
ЮЛС140	5711	0.5516	8552	1.0000	1478	120	8	0.125	0.500	777
ЮЛСП	5711	0.9331	11689	1.0000	1462	119	8	1.000	1.000	2846
ЮЛС140П	5711	0.9276	12000	1.0000	1500	120	8	1.000	1.000	3366
нуль	5711	0.5068	11729	0.5219	1487	112	8	0.000	0.250	714
ЮЛС140	5712	0.5789	8542	1.0000	1517	112	7	0.143	0.857	520
нуль	5712	0.5087	11550	0.5293	1487	119	8	0.000	0.125	778
ЮЛСП	5712	0.9150	12057	1.0000	1508	120	8	1.000	1.000	2277
ЮЛС140П	5712	0.9462	11790	1.0000	1475	120	8	1.000	1.000	4181
