цена_SIG=0.2	3	0.4898	0.3047	2.0214	0.3927	0.3248	0.5335	0.5405	0.2397	101292	20552	121887	5	0.8491	1.623	5.906	79	2.85	1.68	0.994	0.394	1:39% 2:47% 3:50% 4:51% 5:53% 6:71%	0:100% 1:0% 2:0% 3:0%	0:49% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00,1.00
цена_SIG=0.2	2	0.4514	0.5254	3.4686	0.4521	0.4721	0.5787	0.5134	0.2813	154049	56071	210149	5	1.0000	0.501	5.470	80	2.85	2.64	0.998	0.392	1:27% 2:29% 3:32% 4:40% 5:50% 6:54% 7:55% 8:57%	0:100% 1:0% 2:0% 3:0%	0:45% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00,1.00
цена_SIG=0.2	6	0.4940	0.3296	2.1787	0.3888	0.3549	0.5550	0.5437	0.2647	108333	23474	131854	4	1.0000	1.467	5.979	77	2.93	0.79	0.997	0.394	1:37% 2:46% 3:50% 4:52% 5:52% 6:60% 7:100%	0:100% 1:0% 2:0% 3:0%	0:49% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00
цена_SIG=0.2	5	0.3798	0.2724	2.1455	0.5726	0.5099	0.5312	0.5141	0.1996	62388	46545	108954	4	0.5218	0.970	3.857	76	2.82	0.03	0.992	0.392	1:21% 2:29% 3:39% 4:47% 5:52% 6:53% 7:80% 8:75%	0:100% 1:0% 2:0% 3:0%	0:38% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00
цена_SIG=0.3	1	0.5628	0.4153	2.7207	0.3070	0.3049	0.5642	0.5655	0.3213	164250	1849	166132	7	0.6886	1.268	6.873	87	2.91	1.97	0.993	0.394	1:47% 2:53% 3:56% 4:57% 5:58% 6:58% 7:63% 8:60%	0:100% 1:0% 2:0% 3:0%	0:56% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00,1.00,1.00,1.00
цена_SIG=0.3	2	0.2762	0.0768	1.4681	0.7321	0.6916	0.5419	0.5246	0.2002	7192	23507	30703	4	0.2259	1.081	1.155	76	2.86	0.01	0.997	0.394	1:22% 2:24% 3:32% 4:52% 5:59% 6:55%	0:100% 1:0% 2:0% 3:0%	0:28% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00
цена_SIG=0.3	4	0.5175	0.4464	2.9530	0.3606	0.3417	0.5356	0.5559	0.2283	157620	20916	178570	8	0.6030	0.952	6.258	84	3.00	2.16	0.994	0.393	1:30% 2:37% 3:48% 4:53% 5:56% 6:58% 7:55% 8:61%	0:100% 1:0% 2:0% 3:0%	0:52% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
цена_SIG=0.3	3	0.5097	0.3448	2.1691	0.3422	0.3214	0.5427	0.5498	0.2544	119137	18730	137906	5	0.7930	1.550	6.481	78	2.93	2.12	0.999	0.379	1:38% 2:48% 3:52% 4:53% 5:52% 6:42%	0:100% 1:0% 2:0% 3:0%	0:51% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00,1.00
цена_SIG=0.3	6	0.5176	0.3331	2.1922	0.3520	0.3386	0.5551	0.5534	0.2781	115871	17315	133232	5	0.5573	1.561	6.291	81	2.91	2.51	0.999	0.367	1:40% 2:48% 3:52% 4:54% 5:58% 6:58% 7:45%	0:100% 1:0% 2:0% 3:0%	0:52% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00,1.00
цена_SIG=0.3	5	0.4034	0.2881	1.9152	0.4870	0.4649	0.5333	0.5311	0.2116	69126	46062	115237	4	0.7785	1.306	4.854	80	2.88	0.37	0.998	0.395	1:25% 2:35% 3:43% 4:46% 5:50% 6:50%	0:100% 1:0% 2:0% 3:0%	0:40% 1:-% 2:-% 3:-%		1.000	1.00,1.00,1.00,1.00
