О4	1103	6	0.482	0.419	0.748	2.786	0.690	0.685	0.015	0.958	0.381	0.207	55.5	0.341
О4	1104	4	0.526	0.494	0.821	2.878	0.372	0.037	0.001	0.991	0.392	0.090	54	0.178
О4	1105	8	0.728	0.436	0.775	2.860	0.727	0.723	0.011	0.994	0.394	0.221	104.5	0.330
О4	1107	4	0.387	0.482	0.810	2.695	0.403	0.343	0.009	0.988	0.365	0.616	120.5	0.219
О4	1106	5	0.536	0.439	0.788	2.908	0.856	0.830	-0.013	0.917	0.378	0.186	111	0.254
О4	1108	6	0.709	0.539	0.835	2.821	0.664	0.552	-0.020	0.991	0.375	0.158	64.5	0.266
О4	1109	4	0.685	0.506	0.833	2.849	0.743	0.744	-0.004	0.947	0.374	0.109	35	0.260
О4	1111	8	0.732	0.441	0.781	2.853	0.713	0.669	0.009	0.987	0.390	0.233	550	0.342
О4	1110	4	0.481	0.439	0.762	2.883	0.369	0.090	0.020	0.997	0.366	0.363	64.5	0.161
О4	1112	4	0.393	0.422	0.766	2.861	0.517	0.008	-0.002	0.998	0.367	0.174	67.5	0.167
