С	ворота	1603	10	11	0.9900	1.0361	1.0361	5.6622	5.6865	5.6865	1.0106	0.999	0.000	0.000	0.000	0.867458280223135	85
С	ворота	1601	10	8	0.9247	0.9283	0.9283	3.3128	3.3996	3.3996	0.9247	1.000	0.000	0.000	0.000	0.7738969648748382	88
С	ворота	1604	10	9	1.0182	1.0192	1.0520	5.1508	5.1514	5.1514	1.0475	0.584	0.416	0.000	0.000	0.46549855480207797	84
С	ворота	1603	10	12	0.9900	1.0769	1.1162	5.3510	5.3730	5.3730	1.0739	1.000	0.000	0.000	0.000	0.7839243891043189	87
С	ворота	1602	10	9	0.9900	0.9900	0.9919	3.2308	4.4626	4.4626	0.9919	1.000	0.000	0.000	0.000	0.5223442700553709	77
С	ворота	1604	10	10	0.9915	0.9976	1.0002	4.6980	4.7095	4.7095	0.9927	0.808	0.165	0.022	0.005	0.884797835152108	82
С	ворота	1601	10	9	0.9509	0.9568	0.9568	4.2337	5.1346	5.1346	0.9509	1.000	0.000	0.000	0.000	0.5688759927727528	85
С	ворота	1602	10	10	0.9764	0.9764	0.9764	3.1702	4.4232	4.4232	0.9764	1.000	0.000	0.000	0.000	0.6339798650269138	77
С	ворота	1603	10	13	0.9141	0.9141	0.9141	6.1479	6.2132	6.2132	0.9141	0.980	0.000	0.004	0.017	0.18252325970772765	83
С	ворота	1604	10	11	0.9527	0.9527	0.9527	4.1760	5.0583	5.0583	0.9527	1.000	0.000	0.000	0.000	0.5480285076266388	84
С	ворота	1601	10	10	0.9708	0.9708	0.9708	3.7602	3.5009	3.5009	0.9708	1.000	0.000	0.000	0.000	0.6207211386358575	87
С	ворота	1603	10	14	0.9594	0.9590	0.9590	6.2239	6.2904	6.2904	0.9594	1.000	0.000	0.000	0.000	0.3810991013359663	82
С	ворота	1604	10	12	0.9340	0.9340	0.9340	5.3522	5.6083	5.6083	0.9340	1.000	0.000	0.000	0.000	0.6468915222796627	83
С	ворота	1601	10	11	0.9363	0.9363	0.9363	3.7757	3.7317	3.7317	0.9363	1.000	0.000	0.000	0.000	0.6697175932788934	84
С	ворота	1602	10	11	0.9900	0.9900	1.0518	3.7986	4.1107	4.1107	1.0518	0.045	0.000	0.325	0.631	0.6695610488868905	76
